sample_id,manufacturer,source_event_id,fault_event_id,disturbance_row_id,substation_id,window_policy,window_start,window_end,coverage_rate,main_eligible,expected_sample_count,target_class,y
disturbance_0097,M1,37.0,37.0,97.0,19,fault_pre_7d,2018-11-14 09:15:00,2018-11-21 09:15:00,1.0,True,1008,fault,1
disturbance_0099,M1,,,99.0,19,fault_pre_7d,2019-10-01 09:12:00,2019-10-08 09:12:00,1.0,True,1008,fault,1
disturbance_0102,M1,,,102.0,19,fault_pre_7d,2019-11-28 15:04:00,2019-12-05 15:04:00,1.0,True,1008,fault,1
disturbance_0108,M1,34.0,34.0,108.0,20,fault_pre_7d,2017-05-31 07:34:00,2017-06-07 07:34:00,1.0,True,1008,fault,1
disturbance_0109,M1,,,109.0,20,fault_pre_7d,2019-02-12 10:40:00,2019-02-19 10:40:00,1.0,True,1008,fault,1
disturbance_0149,M1,47.0,47.0,149.0,28,fault_pre_7d,2020-01-06 10:55:00,2020-01-13 10:55:00,1.0,True,1008,fault,1
normal_0002,M1,2.0,,,9,normal_event_7d,2019-01-02 00:00:00,2019-01-09 00:00:00,1.0,True,1008,fault,0
normal_0008,M1,8.0,,,6,normal_event_7d,2020-06-02 00:00:00,2020-06-09 00:00:00,1.0,True,1008,fault,0
normal_0016,M1,16.0,,,17,normal_event_7d,2017-10-15 00:00:00,2017-10-22 00:00:00,1.0,True,1008,fault,0
normal_0019,M1,19.0,,,8,normal_event_7d,2018-02-01 00:00:00,2018-02-08 00:00:00,1.0,True,1008,fault,0
normal_0022,M1,22.0,,,5,normal_event_7d,2017-09-13 00:00:00,2017-09-20 00:00:00,1.0,True,1008,fault,0
normal_0050,M1,50.0,,,17,normal_event_7d,2016-11-09 00:00:00,2016-11-16 00:00:00,1.0,True,1008,fault,0
normal_0058,M1,58.0,,,5,normal_event_7d,2018-02-28 00:00:00,2018-03-07 00:00:00,1.0,True,1008,fault,0
disturbance_0016,M1,,,16.0,5,fault_pre_7d,2020-01-28 14:02:00,2020-02-04 14:02:00,1.0,True,1008,fault,1
disturbance_0018,M1,64.0,64.0,18.0,6,fault_pre_7d,2019-04-09 09:41:00,2019-04-16 09:41:00,1.0,True,1008,fault,1
disturbance_0038,M1,44.0,44.0,38.0,8,fault_pre_7d,2018-04-20 08:15:00,2018-04-27 08:15:00,1.0,True,1008,fault,1
disturbance_0041,M1,57.0,57.0,41.0,9,fault_pre_7d,2020-02-17 21:13:00,2020-02-24 21:13:00,1.0,True,1008,fault,1
disturbance_0084,M1,29.0,29.0,84.0,17,fault_pre_7d,2019-01-02 14:18:00,2019-01-09 14:18:00,1.0,True,1008,fault,1
disturbance_0113,M1,,,113.0,21,fault_pre_7d,2015-05-31 11:34:00,2015-06-07 11:34:00,1.0,True,1008,fault,1
disturbance_0115,M1,6.0,6.0,115.0,21,fault_pre_7d,2016-11-29 13:12:00,2016-12-06 13:12:00,1.0,True,1008,fault,1
disturbance_0118,M1,,,118.0,21,fault_pre_7d,2018-04-02 13:51:00,2018-04-09 13:51:00,1.0,True,1008,fault,1
disturbance_0119,M1,,,119.0,21,fault_pre_7d,2018-08-31 15:24:00,2018-09-07 15:24:00,1.0,True,1008,fault,1
disturbance_0121,M1,62.0,62.0,121.0,21,fault_pre_7d,2019-01-14 08:17:00,2019-01-21 08:17:00,1.0,True,1008,fault,1
disturbance_0125,M1,32.0,32.0,125.0,21,fault_pre_7d,2019-10-12 10:38:00,2019-10-19 10:38:00,1.0,True,1008,fault,1
normal_0017,M1,17.0,,,2,normal_event_7d,2018-02-27 00:00:00,2018-03-06 00:00:00,1.0,True,1008,fault,0
normal_0027,M1,27.0,,,12,normal_event_7d,2015-06-24 13:34:00,2015-07-01 13:34:00,1.0,True,1008,fault,0
normal_0035,M1,35.0,,,11,normal_event_7d,2017-10-31 00:00:00,2017-11-07 00:00:00,1.0,True,1008,fault,0
normal_0041,M1,41.0,,,2,normal_event_7d,2016-09-16 00:00:00,2016-09-23 00:00:00,1.0,True,1008,fault,0
normal_0048,M1,48.0,,,11,normal_event_7d,2016-09-30 00:00:00,2016-10-07 00:00:00,1.0,True,1008,fault,0
normal_0056,M1,56.0,,,2,normal_event_7d,2018-11-29 00:00:00,2018-12-06 00:00:00,1.0,True,1008,fault,0
normal_0068,M1,68.0,,,13,normal_event_7d,2019-12-20 00:00:00,2019-12-27 00:00:00,1.0,True,1008,fault,0
disturbance_0053,M1,5.0,5.0,53.0,11,fault_pre_7d,2018-11-16 08:30:00,2018-11-23 08:30:00,1.0,True,1008,fault,1
disturbance_0055,M1,65.0,65.0,55.0,11,fault_pre_7d,2019-01-07 11:58:00,2019-01-14 11:58:00,1.0,True,1008,fault,1
disturbance_0059,M1,3.0,3.0,59.0,12,fault_pre_7d,2015-11-24 10:56:00,2015-12-01 10:56:00,1.0,True,1008,fault,1
disturbance_0062,M1,24.0,24.0,62.0,13,fault_pre_7d,2016-07-13 15:17:00,2016-07-20 15:17:00,1.0,True,1008,fault,1
disturbance_0065,M1,53.0,53.0,65.0,13,fault_pre_7d,2020-05-19 10:00:00,2020-05-26 10:00:00,1.0,True,1008,fault,1
disturbance_0143,M1,23.0,23.0,143.0,27,fault_pre_7d,2020-01-13 12:57:00,2020-01-20 12:57:00,1.0,True,1008,fault,1
disturbance_0144,M1,,,144.0,27,fault_pre_7d,2020-03-20 14:34:11,2020-03-27 14:34:11,1.0,True,1008,fault,1
disturbance_0153,M1,15.0,15.0,153.0,29,fault_pre_7d,2020-02-29 07:59:43,2020-03-07 07:59:43,1.0,True,1008,fault,1
disturbance_0154,M1,,,154.0,29,fault_pre_7d,2020-05-03 11:09:13,2020-05-10 11:09:13,1.0,True,1008,fault,1
disturbance_0155,M1,,,155.0,29,fault_pre_7d,2020-05-25 10:20:54,2020-06-01 10:20:54,1.0,True,1008,fault,1
disturbance_0160,M1,45.0,45.0,160.0,31,fault_pre_7d,2020-01-06 15:48:00,2020-01-13 15:48:00,1.0,True,1008,fault,1
normal_0014,M1,14.0,,,26,normal_event_7d,2019-12-08 00:00:00,2019-12-15 00:00:00,1.0,True,1008,fault,0
normal_0026,M1,26.0,,,4,normal_event_7d,2018-02-19 00:00:00,2018-02-26 00:00:00,1.0,True,1008,fault,0
normal_0042,M1,42.0,,,22,normal_event_7d,2019-11-01 00:00:00,2019-11-08 00:00:00,1.0,True,1008,fault,0
normal_0046,M1,46.0,,,4,normal_event_7d,2018-06-19 00:00:00,2018-06-26 00:00:00,1.0,True,1008,fault,0
normal_0054,M1,54.0,,,22,normal_event_7d,2020-03-14 00:00:00,2020-03-21 00:00:00,1.0,True,1008,fault,0
normal_0059,M1,59.0,,,22,normal_event_7d,2019-01-31 00:00:00,2019-02-07 00:00:00,1.0,True,1008,fault,0
normal_0061,M1,61.0,,,14,normal_event_7d,2019-12-05 00:00:00,2019-12-12 00:00:00,1.0,True,1008,fault,0
disturbance_0001,M1,69.0,69.0,1.0,26,fault_pre_7d,2020-03-03 15:49:00,2020-03-10 15:49:00,1.0,True,1008,fault,1
disturbance_0008,M1,60.0,60.0,8.0,4,fault_pre_7d,2015-03-11 18:54:00,2015-03-18 18:54:00,1.0,True,1008,fault,1
disturbance_0010,M1,11.0,11.0,10.0,4,fault_pre_7d,2016-11-11 15:13:00,2016-11-18 15:13:00,1.0,True,1008,fault,1
disturbance_0074,M1,,,74.0,14,fault_pre_7d,2018-09-23 12:41:00,2018-09-30 12:41:00,1.0,True,1008,fault,1
disturbance_0130,M1,13.0,13.0,130.0,24,fault_pre_7d,2016-01-05 12:39:00,2016-01-12 12:39:00,1.0,True,1008,fault,1
disturbance_0135,M1,38.0,38.0,135.0,24,fault_pre_7d,2016-10-17 13:55:00,2016-10-24 13:55:00,1.0,True,1008,fault,1
disturbance_0136,M1,,,136.0,24,fault_pre_7d,2016-11-11 07:26:00,2016-11-18 07:26:00,1.0,True,1008,fault,1
disturbance_0141,M1,7.0,7.0,141.0,26,fault_pre_7d,2020-06-06 10:38:00,2020-06-13 10:38:00,1.0,True,1008,fault,1
disturbance_0156,M1,,,156.0,30,fault_pre_7d,2019-12-27 13:42:09,2020-01-03 13:42:09,1.0,True,1008,fault,1
disturbance_0158,M1,10.0,10.0,158.0,30,fault_pre_7d,2020-03-09 15:04:00,2020-03-16 15:04:00,1.0,True,1008,fault,1
disturbance_0162,M1,,,162.0,32,fault_pre_7d,2020-03-23 13:19:00,2020-03-30 13:19:00,1.0,True,1008,fault,1
