event_id,substation_id,fault_group,fault_label,problem_en,efd_possible,monitoring_potential,report_date,d0_probability,d0_prediction,first_crossing_lead_time_hours,stable_crossing_lead_time_hours,first_crossing_lead_time_days,stable_crossing_lead_time_days,first_crossing_detected,stable_crossing_detected,min_coverage_rate,low_coverage_window_count,event20_low_coverage_flag,event67_long_anomaly_flag,unknown_fault_label_flag,training_end_missing_flag,review_reason,main_scope_included,clean_scope_included,group_weight,priority_score,priority_tier,anchor_d_minus_7_probability,anchor_d_minus_7_prediction,anchor_d_minus_7_coverage_rate,anchor_d_minus_5_probability,anchor_d_minus_5_prediction,anchor_d_minus_5_coverage_rate,anchor_d_minus_3_probability,anchor_d_minus_3_prediction,anchor_d_minus_3_coverage_rate,anchor_d_minus_1_probability,anchor_d_minus_1_prediction,anchor_d_minus_1_coverage_rate,anchor_d_minus_12h_probability,anchor_d_minus_12h_prediction,anchor_d_minus_12h_coverage_rate,anchor_d0_probability,anchor_d0_prediction,anchor_d0_coverage_rate
57,9,pressure_regulator,Differential pressure regulator defective,no heat,True,3.2,2020-02-24 21:13:00,0.9734807690539088,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.5217021276595746,91.3669742128586,high,0.6984671163663128,1,1.0,0.706061439811577,1,1.0,0.6583015939231578,1,1.0,0.2626362625402457,0,1.0,0.0555153515710495,0,1.0,0.9734807690539088,1,1.0
64,6,pressure_regulator,Differential pressure regulator defective,other,True,3.2,2019-04-16 09:41:00,0.8914341700899385,1,72.0,0.0,3.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.5217021276595746,86.85441126984024,high,0.5234250019694153,0,1.0,0.1113305708393794,0,1.0,0.9705721192341557,1,1.0,0.8994418984703922,1,1.0,0.2850464907055899,0,1.0,0.8914341700899385,1,1.0
5,11,pump_failure,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,0.9836120351232626,1,24.0,24.0,1.0,1.0,True,True,1.0,0,False,False,False,False,,True,True,0.6360425531914894,93.63930022965178,high,0.2953651803995284,0,1.0,0.1843797985413957,0,1.0,0.0546632662877297,0,1.0,0.9372830296182466,1,1.0,0.6133700344935706,1,1.0,0.9836120351232626,1,1.0
13,24,pump_failure,Failure of the heating circuit pump,not enough heat,True,3.8,2016-01-12 12:39:00,0.5388076120923525,0,168.0,,7.0,,True,False,1.0,0,False,False,False,False,,True,True,0.6360425531914894,39.17505696295173,monitor,0.7613605333873762,1,1.0,0.879248172518068,1,1.0,0.7386394065944774,1,1.0,0.6506317516251936,1,1.0,0.4355623315629289,0,1.0,0.5388076120923525,0,1.0
15,29,pump_failure,Failure of the domestic hot water storage charging pump,no heat,True,3.7,2020-03-07 07:59:43,0.6798085866224269,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.6360425531914894,76.93011056210582,medium,0.9088858744889948,1,1.0,0.6209432161341268,1,1.0,0.1452151526456085,0,1.0,0.0917171331360008,0,1.0,0.2263501308167966,0,1.0,0.6798085866224269,1,1.0
24,13,pump_failure,Failure of the heating circuit pump,noise,True,3.8,2016-07-20 15:17:00,0.933219476598265,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.6360425531914894,90.8677095107769,high,0.9237550082428878,1,1.0,0.9307540555837928,1,1.0,0.843630094762654,1,1.0,0.7885644950914616,1,1.0,0.3726330669761887,0,1.0,0.933219476598265,1,1.0
47,28,pump_failure,Failure of the heating circuit pump,no heat,True,3.8,2020-01-13 10:55:00,0.9464888595488308,1,72.0,72.0,3.0,3.0,True,True,1.0,0,False,False,False,False,,True,True,0.6360425531914894,82.59752557305802,high,0.4834833709969228,0,1.0,0.3714608284482154,0,1.0,0.999938914371096,1,1.0,0.9983459929382136,1,1.0,0.9999415662595956,1,1.0,0.9464888595488308,1,1.0
34,20,unknown_review,unknown,other,True,,2017-06-07 07:34:00,0.3919564740087022,0,24.0,,1.0,,True,False,1.0,0,False,False,True,False,unknown_fault_label,True,False,0.0999999999999999,23.057606070478627,monitor,0.4823216478451987,0,1.0,0.2966753690226379,0,1.0,0.5425758534437533,0,1.0,0.7905823769755488,1,1.0,0.9333488866129476,1,1.0,0.3919564740087022,0,1.0
69,26,unknown_review,unknown,no heat,True,,2020-03-10 15:49:00,0.987606200339629,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,True,True,unknown_fault_label|training_end_missing,True,False,0.0999999999999999,85.81834101867959,high,0.9090582531520652,1,1.0,0.9084520403260778,1,1.0,0.9814699048404788,1,1.0,0.979786208854724,1,1.0,0.0110347820149758,0,1.0,0.987606200339629,1,1.0
1,10,valve_actuator,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,0.9997628138313356,1,168.0,168.0,7.0,7.0,True,True,1.0,0,False,False,False,False,,True,True,0.5808936170212766,75.7003590160426,medium,0.999803316137214,1,1.0,0.9986233723123968,1,1.0,0.998629209368204,1,1.0,0.991503793837603,1,1.0,0.9466013815175772,1,1.0,0.9997628138313356,1,1.0
11,4,valve_actuator,Motorised control valve (primary side): Actuator defective,no heat,False,3.4,2016-11-18 15:13:00,2.2951929207164804e-06,0,168.0,,7.0,,True,False,1.0,0,False,False,False,True,training_end_missing,True,True,0.5808936170212766,8.713530490929788,monitor,0.891353975928,1,1.0,0.8514437195430783,1,1.0,0.8178202233979259,1,1.0,0.9228510365478334,1,1.0,0.2969946290298921,0,1.0,2.2951929207164804e-06,0,1.0
29,17,valve_actuator,Motorised control valve (primary side): Control valve jams when closed,no heat,True,3.2,2019-01-09 14:18:00,0.3028906322861625,0,168.0,,7.0,,True,False,1.0,0,False,False,False,False,,True,True,0.5808936170212766,25.37238903105809,monitor,0.9746077945280496,1,1.0,0.0817551333065476,0,1.0,0.8730805319754491,1,1.0,0.895632151128989,1,1.0,0.2086107687419277,0,1.0,0.3028906322861625,0,1.0
53,13,valve_actuator,Shut-off valve closed,no DHW,True,2.8,2020-05-26 10:00:00,0.991303246323025,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.5808936170212766,93.23508280308552,high,0.9625457086143696,1,1.0,0.9238138174782746,1,1.0,0.9732166106573482,1,1.0,0.8148468299446726,1,1.0,0.0805279668232784,0,1.0,0.991303246323025,1,1.0
67,7,valve_actuator,Motorised control valve (primary side) defective,no DHW,True,3.4,2017-11-26 13:15:00,0.9515417680716608,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,True,False,False,event67_long_anomaly,True,False,0.5808936170212766,91.0482014992605,high,0.9886551668656264,1,1.0,0.8954756187274111,1,1.0,0.881294339647074,1,1.0,0.9596376419996744,1,1.0,0.049873947165023,0,1.0,0.9515417680716608,1,1.0
