sample_id,manufacturer,label,label_strength,source_event_id,substation_id,window_start,window_end,window_days,window_policy,sample_count,expected_sample_count,coverage_rate,disturbance_count,disturbance_types,source_type,expanded154_fold,expanded154_probability,expanded154_pred,expanded154_prediction_label,expanded154_fp,locked_compact13_fold,locked_compact13_probability,locked_compact13_pred,locked_compact13_prediction_label,locked_compact13_fp,fold_selected_compact13_fold,fold_selected_compact13_probability,fold_selected_compact13_pred,fold_selected_compact13_prediction_label,fold_selected_compact13_fp,sensitivity_locked_compact13_fold,sensitivity_locked_compact13_probability,sensitivity_locked_compact13_pred,sensitivity_locked_compact13_prediction_label,sensitivity_locked_compact13_fp,sensitivity_fold_selected_compact13_fold,sensitivity_fold_selected_compact13_probability,sensitivity_fold_selected_compact13_pred,sensitivity_fold_selected_compact13_prediction_label,sensitivity_fold_selected_compact13_fp,compact_fp_count,fp_count_across_strategies,hard_normal_flag,hard_normal_severity,hard_normal_strategy,max_compact_probability,sensitivity_compact_fp_count,sensitivity_hard_normal_flag
normal_0018,manufacturer_1,normal,normal,18,16,2018-11-30 00:00:00,2018-12-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.2462561602893523,0,normal,False,1,0.1806420350466452,0,normal,False,1,0.4007185454486115,0,normal,False,1,0.0929916226047274,0,normal,False,1,0.0419089625786406,0,normal,False,0,0,False,none,,0.4007185454486115,0,False
normal_0054,manufacturer_1,normal,normal,54,22,2020-03-14 00:00:00,2020-03-21 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.549872662068242,0,normal,False,2,0.0947315613059918,0,normal,False,2,0.3433255827566723,0,normal,False,2,0.0737122972130994,0,normal,False,2,0.0814263929575502,0,normal,False,0,0,False,none,,0.3433255827566723,0,False
normal_0021,manufacturer_1,normal,normal,21,1,2019-12-01 00:00:00,2019-12-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,4,0.699078434426651,1,efd_possible,True,4,0.1236151838528879,0,normal,False,4,0.3186910186015656,0,normal,False,4,0.20124163453194,0,normal,False,4,0.5256679079693716,0,normal,False,0,1,False,none,,0.3186910186015656,0,False
normal_0002,manufacturer_1,normal,normal,2,9,2019-01-02 00:00:00,2019-01-09 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.0685724997163893,0,normal,False,2,0.3101967365215167,0,normal,False,2,0.0783434803729084,0,normal,False,2,0.3467544258525015,0,normal,False,2,0.0804009273482481,0,normal,False,0,0,False,none,,0.3101967365215167,0,False
normal_0042,manufacturer_1,normal,normal,42,22,2019-11-01 00:00:00,2019-11-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.4058858720602949,0,normal,False,2,0.0180377002071492,0,normal,False,2,0.2536859338361872,0,normal,False,2,0.0171630269799808,0,normal,False,2,0.1337764389567589,0,normal,False,0,0,False,none,,0.2536859338361872,0,False
normal_0059,manufacturer_1,normal,normal,59,22,2019-01-31 00:00:00,2019-02-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.2284507442284971,0,normal,False,2,0.2321902622000636,0,normal,False,2,0.2035303423306191,0,normal,False,2,0.226968729360609,0,normal,False,2,0.1877965373383021,0,normal,False,0,0,False,none,,0.2321902622000636,0,False
normal_0056,manufacturer_1,normal,normal,56,2,2018-11-29 00:00:00,2018-12-06 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.5202748806264744,0,normal,False,1,0.0405662397164857,0,normal,False,1,0.1842794308187768,0,normal,False,1,0.0259780298777025,0,normal,False,1,0.0051462891651765,0,normal,False,0,0,False,none,,0.1842794308187768,0,False
normal_0061,manufacturer_1,normal,normal,61,14,2019-12-05 00:00:00,2019-12-12 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.1530004312232783,0,normal,False,2,0.0747565865367293,0,normal,False,2,0.1796046687171311,0,normal,False,4,0.1522656057873004,0,normal,False,4,0.7315734618339846,1,efd_possible,True,0,0,False,none,,0.1796046687171311,1,True
normal_0017,manufacturer_1,normal,normal,17,2,2018-02-27 00:00:00,2018-03-06 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.16821023675678,0,normal,False,1,0.0643968482666316,0,normal,False,1,0.1279676566711852,0,normal,False,1,0.0377646122576904,0,normal,False,1,0.0697294913203723,0,normal,False,0,0,False,none,,0.1279676566711852,0,False
normal_0022,manufacturer_1,normal,normal,22,5,2017-09-13 00:00:00,2017-09-20 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,4,0.0050313631810299,0,normal,False,4,0.1265031739731651,0,normal,False,4,0.0512152518334051,0,normal,False,4,0.0935752692990567,0,normal,False,4,0.0146725544666453,0,normal,False,0,0,False,none,,0.1265031739731651,0,False
normal_0058,manufacturer_1,normal,normal,58,5,2018-02-28 00:00:00,2018-03-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,4,0.2034202188065868,0,normal,False,4,0.1116532855715362,0,normal,False,4,0.0928826675755239,0,normal,False,4,0.0897927363708644,0,normal,False,4,0.0623228444178651,0,normal,False,0,0,False,none,,0.1116532855715362,0,False
normal_0026,manufacturer_1,normal,normal,26,4,2018-02-19 00:00:00,2018-02-26 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,5,0.0014628056350244,0,normal,False,5,0.0902189592484801,0,normal,False,5,0.0053746656098312,0,normal,False,5,0.0974397517376058,0,normal,False,5,0.1228019781873512,0,normal,False,0,0,False,none,,0.0902189592484801,0,False
normal_0055,manufacturer_1,normal,normal,55,23,2017-10-06 00:00:00,2017-10-13 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,5,0.583666113643416,0,normal,False,5,0.054870073910113,0,normal,False,5,0.0748057239346155,0,normal,False,1,0.1454367137594215,0,normal,False,1,0.1101696543544412,0,normal,False,0,0,False,none,,0.0748057239346155,0,False
normal_0025,manufacturer_1,normal,normal,25,20,2017-01-31 00:00:00,2017-02-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.0396689377025266,0,normal,False,3,0.0733794044413918,0,normal,False,3,0.0644692213123864,0,normal,False,3,0.0463094943911593,0,normal,False,3,0.0682609593809166,0,normal,False,0,0,False,none,,0.0733794044413918,0,False
normal_0004,manufacturer_1,normal,normal,4,15,2019-03-01 00:00:00,2019-03-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.0535961155970537,0,normal,False,3,0.0171414629694933,0,normal,False,3,0.0681604590402292,0,normal,False,3,0.0152970913799145,0,normal,False,3,0.0127109790955126,0,normal,False,0,0,False,none,,0.0681604590402292,0,False
normal_0016,manufacturer_1,normal,normal,16,17,2017-10-15 00:00:00,2017-10-22 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,4,1.9097253043808858e-07,0,normal,False,4,0.0636307989937201,0,normal,False,4,0.0103146330763855,0,normal,False,4,0.0354353307941428,0,normal,False,4,0.0296568705575063,0,normal,False,0,0,False,none,,0.0636307989937201,0,False
normal_0046,manufacturer_1,normal,normal,46,4,2018-06-19 00:00:00,2018-06-26 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,5,0.0180096669959188,0,normal,False,5,0.0323079988069096,0,normal,False,5,0.0528072535606539,0,normal,False,5,0.0525416388721384,0,normal,False,5,0.0324807476590106,0,normal,False,0,0,False,none,,0.0528072535606539,0,False
normal_0051,manufacturer_1,normal,normal,51,20,2020-04-01 00:00:00,2020-04-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.029835339833456,0,normal,False,3,0.0507945873655338,0,normal,False,3,0.0106571833149973,0,normal,False,3,0.059737295924761,0,normal,False,3,0.0293835879894889,0,normal,False,0,0,False,none,,0.0507945873655338,0,False
normal_0030,manufacturer_1,normal,normal,30,16,2018-02-28 00:00:00,2018-03-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.0113630310723192,0,normal,False,1,0.0050151390200356,0,normal,False,1,0.042848167153837,0,normal,False,1,0.0044775625873511,0,normal,False,1,0.0126055124632502,0,normal,False,0,0,False,none,,0.042848167153837,0,False
normal_0031,manufacturer_1,normal,normal,31,3,2019-09-01 00:00:00,2019-09-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,5,0.107837768417579,0,normal,False,5,0.0425269803670369,0,normal,False,5,0.0400968674890393,0,normal,False,5,0.0539397902221438,0,normal,False,5,0.1214880032978248,0,normal,False,0,0,False,none,,0.0425269803670369,0,False
normal_0012,manufacturer_1,normal,normal,12,19,2017-09-30 00:00:00,2017-10-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.0001120632288491,0,normal,False,2,0.0423164365069045,0,normal,False,2,0.0023956104296771,0,normal,False,2,0.0404933028291426,0,normal,False,2,0.0112152645963976,0,normal,False,0,0,False,none,,0.0423164365069045,0,False
normal_0041,manufacturer_1,normal,normal,41,2,2016-09-16 00:00:00,2016-09-23 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.00518866495067,0,normal,False,1,0.0198017833033384,0,normal,False,1,0.0412160542104396,0,normal,False,1,0.0085419044534086,0,normal,False,1,1.6997126696418264e-06,0,normal,False,0,0,False,none,,0.0412160542104396,0,False
normal_0043,manufacturer_1,normal,normal,43,25,2020-04-05 00:00:00,2020-04-12 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.1512603378736249,0,normal,False,1,0.0230467812310053,0,normal,False,1,0.0243159049484372,0,normal,False,2,0.0227608053361809,0,normal,False,2,0.0345033302981205,0,normal,False,0,0,False,none,,0.0243159049484372,0,False
normal_0050,manufacturer_1,normal,normal,50,17,2016-11-09 00:00:00,2016-11-16 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,4,0.00154750536975,0,normal,False,4,0.0222508569656127,0,normal,False,4,0.0019758238377849,0,normal,False,4,0.0186330405509496,0,normal,False,4,0.001881907822287,0,normal,False,0,0,False,none,,0.0222508569656127,0,False
normal_0066,manufacturer_1,normal,normal,66,19,2017-06-14 00:00:00,2017-06-21 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,2.9414490427016143e-05,0,normal,False,2,0.0160617161363134,0,normal,False,2,0.0091722643941869,0,normal,False,2,0.0172942245413822,0,normal,False,2,0.0181660095175695,0,normal,False,0,0,False,none,,0.0160617161363134,0,False
