dataset,source_id,disturbance_row_id,substation_id,window_policy,coverage_rate,overlap_disturbance_count,probability_activity,prediction_t0_5,error_type
activity_pre_1d,disturbance_0044_activity_pre_1d,44.0,10,activity_pre_1d,1.0,0.0,0.942038967722332,1,correct
activity_pre_1d,disturbance_0045_activity_pre_1d,45.0,10,activity_pre_1d,1.0,0.0,0.9146171554885063,1,correct
activity_pre_1d,disturbance_0047_activity_pre_1d,47.0,10,activity_pre_1d,0.9930555555555556,2.0,0.9646861607581515,1,correct
activity_pre_1d,disturbance_0049_activity_pre_1d,49.0,11,activity_pre_1d,1.0,0.0,0.9884966472573066,1,correct
activity_pre_1d,disturbance_0050_activity_pre_1d,50.0,11,activity_pre_1d,1.0,0.0,0.9896077583684175,1,correct
activity_pre_1d,disturbance_0057_activity_pre_1d,57.0,12,activity_pre_1d,1.0,0.0,0.9322036908898574,1,correct
activity_pre_1d,disturbance_0058_activity_pre_1d,58.0,12,activity_pre_1d,1.0,0.0,0.9872169729035674,1,correct
activity_pre_1d,disturbance_0060_activity_pre_1d,60.0,12,activity_pre_1d,0.9652777777777778,0.0,0.9818062925023745,1,correct
activity_pre_1d,disturbance_0061_activity_pre_1d,61.0,13,activity_pre_1d,1.0,0.0,0.9722122665776701,1,correct
activity_pre_1d,disturbance_0063_activity_pre_1d,63.0,13,activity_pre_1d,1.0,0.0,0.9765737334843174,1,correct
activity_pre_1d,disturbance_0064_activity_pre_1d,64.0,13,activity_pre_1d,1.0,0.0,0.9701971986109893,1,correct
activity_pre_1d,disturbance_0071_activity_pre_1d,71.0,14,activity_pre_1d,1.0,0.0,0.9754698461422214,1,correct
activity_pre_1d,disturbance_0072_activity_pre_1d,72.0,14,activity_pre_1d,1.0,0.0,0.935779448465615,1,correct
activity_pre_1d,disturbance_0076_activity_pre_1d,76.0,15,activity_pre_1d,1.0,0.0,0.9539327511586941,1,correct
activity_pre_1d,disturbance_0077_activity_pre_1d,77.0,15,activity_pre_1d,0.9652777777777778,0.0,0.961890597929865,1,correct
activity_pre_1d,disturbance_0082_activity_pre_1d,82.0,17,activity_pre_1d,1.0,0.0,0.9340370242231906,1,correct
activity_pre_1d,disturbance_0083_activity_pre_1d,83.0,17,activity_pre_1d,1.0,1.0,0.9778960884739873,1,correct
activity_pre_1d,disturbance_0088_activity_pre_1d,88.0,18,activity_pre_1d,1.0,0.0,0.987742679003338,1,correct
activity_pre_1d,disturbance_0093_activity_pre_1d,93.0,18,activity_pre_1d,1.0,0.0,0.9636160536614736,1,correct
activity_pre_1d,disturbance_0105_activity_pre_1d,105.0,20,activity_pre_1d,1.0,0.0,0.9660416547550977,1,correct
activity_pre_1d,disturbance_0106_activity_pre_1d,106.0,20,activity_pre_1d,1.0,0.0,0.9614886825630127,1,correct
activity_pre_1d,disturbance_0107_activity_pre_1d,107.0,20,activity_pre_1d,1.0,0.0,0.9630596253597619,1,correct
activity_pre_1d,disturbance_0112_activity_pre_1d,112.0,21,activity_pre_1d,1.0,0.0,0.9876404050458473,1,correct
activity_pre_1d,disturbance_0114_activity_pre_1d,114.0,21,activity_pre_1d,1.0,0.0,0.9617697046681752,1,correct
activity_pre_1d,disturbance_0117_activity_pre_1d,117.0,21,activity_pre_1d,1.0,0.0,0.9876128477266233,1,correct
activity_pre_1d,disturbance_0128_activity_pre_1d,128.0,23,activity_pre_1d,1.0,0.0,0.9468027301189734,1,correct
activity_pre_1d,disturbance_0129_activity_pre_1d,129.0,24,activity_pre_1d,1.0,0.0,0.9797571619600655,1,correct
activity_pre_1d,disturbance_0131_activity_pre_1d,131.0,24,activity_pre_1d,1.0,0.0,0.973019622844,1,correct
activity_pre_1d,disturbance_0133_activity_pre_1d,133.0,24,activity_pre_1d,1.0,0.0,0.9681589394667518,1,correct
activity_pre_1d,disturbance_0164_activity_pre_1d,164.0,33,activity_pre_1d,1.0,0.0,0.947969670161619,1,correct
activity_pre_1d,disturbance_0165_activity_pre_1d,165.0,33,activity_pre_1d,1.0,0.0,0.9837972596110351,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0002_activity_pre_1d,2.0,3,activity_pre_1d,1.0,0.0,0.9661348842322613,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0004_activity_pre_1d,4.0,3,activity_pre_1d,1.0,0.0,0.9710658164808404,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0007_activity_pre_1d,7.0,4,activity_pre_1d,1.0,0.0,0.9819076369906227,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0009_activity_pre_1d,9.0,4,activity_pre_1d,1.0,0.0,0.9644752235707093,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0011_activity_pre_1d,11.0,4,activity_pre_1d,1.0,0.0,0.9214650193473595,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0012_activity_pre_1d,12.0,5,activity_pre_1d,1.0,0.0,0.9782898751533253,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0013_activity_pre_1d,13.0,5,activity_pre_1d,1.0,0.0,0.9393788006900974,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0014_activity_pre_1d,14.0,5,activity_pre_1d,1.0,0.0,0.9778136846771349,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0015_activity_pre_1d,15.0,5,activity_pre_1d,0.9652777777777778,0.0,0.9345593181681427,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0020_activity_pre_1d,20.0,7,activity_pre_1d,1.0,0.0,0.9854259471997949,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0024_activity_pre_1d,24.0,7,activity_pre_1d,1.0,0.0,0.9869232734030036,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0025_activity_pre_1d,25.0,7,activity_pre_1d,1.0,0.0,0.9224219252887615,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0026_activity_pre_1d,26.0,7,activity_pre_1d,1.0,0.0,0.9571589688481865,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0029_activity_pre_1d,29.0,7,activity_pre_1d,1.0,0.0,0.9609108180122521,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0036_activity_pre_1d,36.0,8,activity_pre_1d,1.0,0.0,0.9446392431065476,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0040_activity_pre_1d,40.0,9,activity_pre_1d,1.0,0.0,0.9826419335945679,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0044_activity_pre_1d,44.0,10,activity_pre_1d,1.0,0.0,0.9553714363805851,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0045_activity_pre_1d,45.0,10,activity_pre_1d,1.0,0.0,0.9210764954013977,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0049_activity_pre_1d,49.0,11,activity_pre_1d,1.0,0.0,0.980941097006697,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0050_activity_pre_1d,50.0,11,activity_pre_1d,1.0,0.0,0.9809345802259865,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0057_activity_pre_1d,57.0,12,activity_pre_1d,1.0,0.0,0.9329711713191409,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0058_activity_pre_1d,58.0,12,activity_pre_1d,1.0,0.0,0.9837131925461783,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0060_activity_pre_1d,60.0,12,activity_pre_1d,0.9652777777777778,0.0,0.9639453248296038,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0061_activity_pre_1d,61.0,13,activity_pre_1d,1.0,0.0,0.9753466595803313,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0063_activity_pre_1d,63.0,13,activity_pre_1d,1.0,0.0,0.9838751881088598,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0064_activity_pre_1d,64.0,13,activity_pre_1d,1.0,0.0,0.9364697202497475,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0071_activity_pre_1d,71.0,14,activity_pre_1d,1.0,0.0,0.9391287681318681,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0072_activity_pre_1d,72.0,14,activity_pre_1d,1.0,0.0,0.9485733709694308,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0076_activity_pre_1d,76.0,15,activity_pre_1d,1.0,0.0,0.9743592218223049,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0077_activity_pre_1d,77.0,15,activity_pre_1d,0.9652777777777778,0.0,0.9579191810387541,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0082_activity_pre_1d,82.0,17,activity_pre_1d,1.0,0.0,0.936248337166644,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0088_activity_pre_1d,88.0,18,activity_pre_1d,1.0,0.0,0.9849982526646589,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0093_activity_pre_1d,93.0,18,activity_pre_1d,1.0,0.0,0.9477312931126469,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0105_activity_pre_1d,105.0,20,activity_pre_1d,1.0,0.0,0.9447532103235757,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0106_activity_pre_1d,106.0,20,activity_pre_1d,1.0,0.0,0.9527732042054052,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0107_activity_pre_1d,107.0,20,activity_pre_1d,1.0,0.0,0.9630106964177553,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0112_activity_pre_1d,112.0,21,activity_pre_1d,1.0,0.0,0.9819276478802821,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0114_activity_pre_1d,114.0,21,activity_pre_1d,1.0,0.0,0.9549269296577666,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0117_activity_pre_1d,117.0,21,activity_pre_1d,1.0,0.0,0.9728562032430479,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0128_activity_pre_1d,128.0,23,activity_pre_1d,1.0,0.0,0.9312785674066675,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0129_activity_pre_1d,129.0,24,activity_pre_1d,1.0,0.0,0.9749279131615847,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0131_activity_pre_1d,131.0,24,activity_pre_1d,1.0,0.0,0.9652329186399775,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0133_activity_pre_1d,133.0,24,activity_pre_1d,1.0,0.0,0.970293646725848,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0164_activity_pre_1d,164.0,33,activity_pre_1d,1.0,0.0,0.9538585873992567,1,correct
activity_pre_1d_strict_no_overlap,disturbance_0165_activity_pre_1d,165.0,33,activity_pre_1d,1.0,0.0,0.9610981026073815,1,correct
activity_post_1d,disturbance_0002_activity_post_1d,2.0,3,activity_post_1d,1.0,0.0,0.9767644744631633,1,correct
activity_post_1d,disturbance_0004_activity_post_1d,4.0,3,activity_post_1d,1.0,0.0,0.9766555212767207,1,correct
activity_post_1d,disturbance_0007_activity_post_1d,7.0,4,activity_post_1d,1.0,0.0,0.9712411404799781,1,correct
activity_post_1d,disturbance_0009_activity_post_1d,9.0,4,activity_post_1d,1.0,0.0,0.9751123090623535,1,correct
activity_post_1d,disturbance_0011_activity_post_1d,11.0,4,activity_post_1d,1.0,0.0,0.9382091903687672,1,correct
activity_post_1d,disturbance_0012_activity_post_1d,12.0,5,activity_post_1d,1.0,0.0,0.9544676048403674,1,correct
activity_post_1d,disturbance_0013_activity_post_1d,13.0,5,activity_post_1d,1.0,0.0,0.9687226274213162,1,correct
activity_post_1d,disturbance_0014_activity_post_1d,14.0,5,activity_post_1d,1.0,0.0,0.9794650450862445,1,correct
activity_post_1d,disturbance_0015_activity_post_1d,15.0,5,activity_post_1d,1.0,0.0,0.9649210954998032,1,correct
activity_post_1d,disturbance_0020_activity_post_1d,20.0,7,activity_post_1d,1.0,0.0,0.9681300293688667,1,correct
activity_post_1d,disturbance_0024_activity_post_1d,24.0,7,activity_post_1d,1.0,0.0,0.9636940991858103,1,correct
activity_post_1d,disturbance_0025_activity_post_1d,25.0,7,activity_post_1d,1.0,0.0,0.9789862259500636,1,correct
activity_post_1d,disturbance_0026_activity_post_1d,26.0,7,activity_post_1d,1.0,1.0,0.9835796167546613,1,correct
activity_post_1d,disturbance_0029_activity_post_1d,29.0,7,activity_post_1d,1.0,0.0,0.9877740611991057,1,correct
activity_post_1d,disturbance_0036_activity_post_1d,36.0,8,activity_post_1d,1.0,0.0,0.9358883722979492,1,correct
activity_post_1d,disturbance_0040_activity_post_1d,40.0,9,activity_post_1d,1.0,0.0,0.9486968360344313,1,correct
activity_post_1d,disturbance_0045_activity_post_1d,45.0,10,activity_post_1d,0.9930555555555556,1.0,0.974600162230511,1,correct
activity_post_1d,disturbance_0047_activity_post_1d,47.0,10,activity_post_1d,1.0,0.0,0.9668682581893608,1,correct
activity_post_1d,disturbance_0049_activity_post_1d,49.0,11,activity_post_1d,1.0,0.0,0.9620326540856161,1,correct
activity_post_1d,disturbance_0050_activity_post_1d,50.0,11,activity_post_1d,1.0,0.0,0.9773779400082888,1,correct
activity_post_1d,disturbance_0057_activity_post_1d,57.0,12,activity_post_1d,1.0,0.0,0.9705027645628822,1,correct
activity_post_1d,disturbance_0058_activity_post_1d,58.0,12,activity_post_1d,1.0,0.0,0.9599694280655039,1,correct
activity_post_1d,disturbance_0060_activity_post_1d,60.0,12,activity_post_1d,1.0,0.0,0.9447436466230043,1,correct
activity_post_1d,disturbance_0061_activity_post_1d,61.0,13,activity_post_1d,1.0,0.0,0.9757150122093428,1,correct
activity_post_1d,disturbance_0063_activity_post_1d,63.0,13,activity_post_1d,1.0,0.0,0.9771249037310762,1,correct
activity_post_1d,disturbance_0064_activity_post_1d,64.0,13,activity_post_1d,1.0,0.0,0.9818538778240147,1,correct
activity_post_1d,disturbance_0071_activity_post_1d,71.0,14,activity_post_1d,1.0,0.0,0.9739555797598414,1,correct
activity_post_1d,disturbance_0072_activity_post_1d,72.0,14,activity_post_1d,1.0,0.0,0.9842814809118297,1,correct
activity_post_1d,disturbance_0076_activity_post_1d,76.0,15,activity_post_1d,1.0,0.0,0.9068100389953554,1,correct
activity_post_1d,disturbance_0077_activity_post_1d,77.0,15,activity_post_1d,1.0,0.0,0.9393563009964946,1,correct
activity_post_1d,disturbance_0082_activity_post_1d,82.0,17,activity_post_1d,1.0,0.0,0.9778044550245918,1,correct
activity_post_1d,disturbance_0083_activity_post_1d,83.0,17,activity_post_1d,1.0,0.0,0.9813275620345409,1,correct
activity_post_1d,disturbance_0088_activity_post_1d,88.0,18,activity_post_1d,1.0,0.0,0.9737162635205252,1,correct
activity_post_1d,disturbance_0093_activity_post_1d,93.0,18,activity_post_1d,1.0,0.0,0.9747541440511595,1,correct
activity_post_1d,disturbance_0105_activity_post_1d,105.0,20,activity_post_1d,1.0,0.0,0.9572794440013265,1,correct
activity_post_1d,disturbance_0106_activity_post_1d,106.0,20,activity_post_1d,1.0,0.0,0.9568055217104211,1,correct
activity_post_1d,disturbance_0107_activity_post_1d,107.0,20,activity_post_1d,1.0,0.0,0.9312489491964053,1,correct
activity_post_1d,disturbance_0112_activity_post_1d,112.0,21,activity_post_1d,1.0,0.0,0.9767144185198285,1,correct
activity_post_1d,disturbance_0114_activity_post_1d,114.0,21,activity_post_1d,1.0,0.0,0.8290425579633183,1,correct
activity_post_1d,disturbance_0117_activity_post_1d,117.0,21,activity_post_1d,1.0,0.0,0.9688543846121248,1,correct
activity_post_1d,disturbance_0128_activity_post_1d,128.0,23,activity_post_1d,1.0,0.0,0.9827517190070678,1,correct
activity_post_1d,disturbance_0129_activity_post_1d,129.0,24,activity_post_1d,1.0,0.0,0.9788846875296531,1,correct
activity_post_1d,disturbance_0131_activity_post_1d,131.0,24,activity_post_1d,1.0,1.0,0.9708075509998241,1,correct
activity_post_1d,disturbance_0133_activity_post_1d,133.0,24,activity_post_1d,1.0,1.0,0.8465483055154178,1,correct
activity_post_1d,disturbance_0164_activity_post_1d,164.0,33,activity_post_1d,1.0,0.0,0.9802210544429367,1,correct
activity_post_1d,disturbance_0165_activity_post_1d,165.0,33,activity_post_1d,1.0,0.0,0.9722232998755229,1,correct
activity_post_1d_strict_no_overlap,disturbance_0002_activity_post_1d,2.0,3,activity_post_1d,1.0,0.0,0.9759880847149547,1,correct
activity_post_1d_strict_no_overlap,disturbance_0004_activity_post_1d,4.0,3,activity_post_1d,1.0,0.0,0.9774639699408398,1,correct
activity_post_1d_strict_no_overlap,disturbance_0007_activity_post_1d,7.0,4,activity_post_1d,1.0,0.0,0.9608480285418511,1,correct
activity_post_1d_strict_no_overlap,disturbance_0009_activity_post_1d,9.0,4,activity_post_1d,1.0,0.0,0.9572465792664887,1,correct
activity_post_1d_strict_no_overlap,disturbance_0011_activity_post_1d,11.0,4,activity_post_1d,1.0,0.0,0.9020771395542956,1,correct
activity_post_1d_strict_no_overlap,disturbance_0012_activity_post_1d,12.0,5,activity_post_1d,1.0,0.0,0.9491789609683313,1,correct
activity_post_1d_strict_no_overlap,disturbance_0013_activity_post_1d,13.0,5,activity_post_1d,1.0,0.0,0.9653459143852844,1,correct
activity_post_1d_strict_no_overlap,disturbance_0014_activity_post_1d,14.0,5,activity_post_1d,1.0,0.0,0.9797182434451135,1,correct
activity_post_1d_strict_no_overlap,disturbance_0015_activity_post_1d,15.0,5,activity_post_1d,1.0,0.0,0.9640774444293146,1,correct
activity_post_1d_strict_no_overlap,disturbance_0020_activity_post_1d,20.0,7,activity_post_1d,1.0,0.0,0.9660262688751258,1,correct
activity_post_1d_strict_no_overlap,disturbance_0024_activity_post_1d,24.0,7,activity_post_1d,1.0,0.0,0.9507698234136459,1,correct
activity_post_1d_strict_no_overlap,disturbance_0025_activity_post_1d,25.0,7,activity_post_1d,1.0,0.0,0.9755818244306812,1,correct
activity_post_1d_strict_no_overlap,disturbance_0029_activity_post_1d,29.0,7,activity_post_1d,1.0,0.0,0.985248491097348,1,correct
activity_post_1d_strict_no_overlap,disturbance_0036_activity_post_1d,36.0,8,activity_post_1d,1.0,0.0,0.9131963562717895,1,correct
activity_post_1d_strict_no_overlap,disturbance_0040_activity_post_1d,40.0,9,activity_post_1d,1.0,0.0,0.9311029654671917,1,correct
activity_post_1d_strict_no_overlap,disturbance_0047_activity_post_1d,47.0,10,activity_post_1d,1.0,0.0,0.9488699128335043,1,correct
activity_post_1d_strict_no_overlap,disturbance_0049_activity_post_1d,49.0,11,activity_post_1d,1.0,0.0,0.9487308456855237,1,correct
activity_post_1d_strict_no_overlap,disturbance_0050_activity_post_1d,50.0,11,activity_post_1d,1.0,0.0,0.9712700727305651,1,correct
activity_post_1d_strict_no_overlap,disturbance_0057_activity_post_1d,57.0,12,activity_post_1d,1.0,0.0,0.9771358663590458,1,correct
activity_post_1d_strict_no_overlap,disturbance_0058_activity_post_1d,58.0,12,activity_post_1d,1.0,0.0,0.9733790567265556,1,correct
activity_post_1d_strict_no_overlap,disturbance_0060_activity_post_1d,60.0,12,activity_post_1d,1.0,0.0,0.9507720974090701,1,correct
activity_post_1d_strict_no_overlap,disturbance_0061_activity_post_1d,61.0,13,activity_post_1d,1.0,0.0,0.9501736584837918,1,correct
activity_post_1d_strict_no_overlap,disturbance_0063_activity_post_1d,63.0,13,activity_post_1d,1.0,0.0,0.9680063293617495,1,correct
activity_post_1d_strict_no_overlap,disturbance_0064_activity_post_1d,64.0,13,activity_post_1d,1.0,0.0,0.9796514682785602,1,correct
activity_post_1d_strict_no_overlap,disturbance_0071_activity_post_1d,71.0,14,activity_post_1d,1.0,0.0,0.9731198913587019,1,correct
activity_post_1d_strict_no_overlap,disturbance_0072_activity_post_1d,72.0,14,activity_post_1d,1.0,0.0,0.9823797292499675,1,correct
activity_post_1d_strict_no_overlap,disturbance_0076_activity_post_1d,76.0,15,activity_post_1d,1.0,0.0,0.7998094880523193,1,correct
activity_post_1d_strict_no_overlap,disturbance_0077_activity_post_1d,77.0,15,activity_post_1d,1.0,0.0,0.9728905963605058,1,correct
activity_post_1d_strict_no_overlap,disturbance_0082_activity_post_1d,82.0,17,activity_post_1d,1.0,0.0,0.9716853259241367,1,correct
activity_post_1d_strict_no_overlap,disturbance_0083_activity_post_1d,83.0,17,activity_post_1d,1.0,0.0,0.9792819535659851,1,correct
activity_post_1d_strict_no_overlap,disturbance_0088_activity_post_1d,88.0,18,activity_post_1d,1.0,0.0,0.9834780116555616,1,correct
activity_post_1d_strict_no_overlap,disturbance_0093_activity_post_1d,93.0,18,activity_post_1d,1.0,0.0,0.9682544465733008,1,correct
activity_post_1d_strict_no_overlap,disturbance_0105_activity_post_1d,105.0,20,activity_post_1d,1.0,0.0,0.9242824471672835,1,correct
activity_post_1d_strict_no_overlap,disturbance_0106_activity_post_1d,106.0,20,activity_post_1d,1.0,0.0,0.9489401988426446,1,correct
activity_post_1d_strict_no_overlap,disturbance_0107_activity_post_1d,107.0,20,activity_post_1d,1.0,0.0,0.9078831976057025,1,correct
activity_post_1d_strict_no_overlap,disturbance_0112_activity_post_1d,112.0,21,activity_post_1d,1.0,0.0,0.9798250810519511,1,correct
activity_post_1d_strict_no_overlap,disturbance_0114_activity_post_1d,114.0,21,activity_post_1d,1.0,0.0,0.8046580162670065,1,correct
activity_post_1d_strict_no_overlap,disturbance_0117_activity_post_1d,117.0,21,activity_post_1d,1.0,0.0,0.968968904820775,1,correct
activity_post_1d_strict_no_overlap,disturbance_0128_activity_post_1d,128.0,23,activity_post_1d,1.0,0.0,0.9895929000351559,1,correct
activity_post_1d_strict_no_overlap,disturbance_0129_activity_post_1d,129.0,24,activity_post_1d,1.0,0.0,0.9918353242775801,1,correct
activity_post_1d_strict_no_overlap,disturbance_0164_activity_post_1d,164.0,33,activity_post_1d,1.0,0.0,0.9909262333684891,1,correct
activity_post_1d_strict_no_overlap,disturbance_0165_activity_post_1d,165.0,33,activity_post_1d,1.0,0.0,0.9875335672111173,1,correct
activity_no_overlap,disturbance_0002,2.0,3,activity_pre_7d,1.0,0.0,0.7934754614132485,1,correct
activity_no_overlap,disturbance_0004,4.0,3,activity_pre_7d,1.0,0.0,0.4594856237008986,0,false_negative_activity
activity_no_overlap,disturbance_0007,7.0,4,activity_pre_7d,1.0,0.0,0.8096209947433758,1,correct
activity_no_overlap,disturbance_0009,9.0,4,activity_pre_7d,1.0,0.0,0.3291743352739598,0,false_negative_activity
activity_no_overlap,disturbance_0011,11.0,4,activity_pre_7d,1.0,0.0,0.459612540403812,0,false_negative_activity
activity_no_overlap,disturbance_0012,12.0,5,activity_pre_7d,1.0,0.0,0.8323279035622665,1,correct
activity_no_overlap,disturbance_0013,13.0,5,activity_pre_7d,1.0,0.0,0.5108578160344386,1,correct
activity_no_overlap,disturbance_0014,14.0,5,activity_pre_7d,1.0,0.0,0.7051823237999134,1,correct
activity_no_overlap,disturbance_0015,15.0,5,activity_pre_7d,0.9950396825396826,0.0,0.4683500235419814,0,false_negative_activity
activity_no_overlap,disturbance_0020,20.0,7,activity_pre_7d,1.0,0.0,0.8364984648274574,1,correct
activity_no_overlap,disturbance_0024,24.0,7,activity_pre_7d,1.0,0.0,0.4764761586996167,0,false_negative_activity
activity_no_overlap,disturbance_0025,25.0,7,activity_pre_7d,1.0,0.0,0.635384769451316,1,correct
activity_no_overlap,disturbance_0026,26.0,7,activity_pre_7d,1.0,0.0,0.6287687282939513,1,correct
activity_no_overlap,disturbance_0029,29.0,7,activity_pre_7d,1.0,0.0,0.7814371146533623,1,correct
activity_no_overlap,disturbance_0036,36.0,8,activity_pre_7d,1.0,0.0,0.9012292855863144,1,correct
activity_no_overlap,disturbance_0040,40.0,9,activity_pre_7d,1.0,0.0,0.8267326523384847,1,correct
activity_no_overlap,disturbance_0044,44.0,10,activity_pre_7d,1.0,0.0,0.5650954238610424,1,correct
activity_no_overlap,disturbance_0045,45.0,10,activity_pre_7d,1.0,0.0,0.38080541746284574,0,false_negative_activity
activity_no_overlap,disturbance_0047,47.0,10,activity_post_7d,1.0,0.0,0.4268171598537612,0,false_negative_activity
activity_no_overlap,disturbance_0049,49.0,11,activity_pre_7d,1.0,0.0,0.7519702790643407,1,correct
activity_no_overlap,disturbance_0050,50.0,11,activity_pre_7d,1.0,0.0,0.7165543584572766,1,correct
activity_no_overlap,disturbance_0057,57.0,12,activity_pre_7d,1.0,0.0,0.8700757607440486,1,correct
activity_no_overlap,disturbance_0058,58.0,12,activity_pre_7d,1.0,0.0,0.25730004733057804,0,false_negative_activity
activity_no_overlap,disturbance_0060,60.0,12,activity_pre_7d,0.9950396825396826,0.0,0.5869878976617989,1,correct
activity_no_overlap,disturbance_0061,61.0,13,activity_pre_7d,1.0,0.0,0.8276323420313928,1,correct
activity_no_overlap,disturbance_0063,63.0,13,activity_post_7d,1.0,0.0,0.27989521722692223,0,false_negative_activity
activity_no_overlap,disturbance_0064,64.0,13,activity_pre_7d,1.0,0.0,0.40645970405902293,0,false_negative_activity
activity_no_overlap,disturbance_0071,71.0,14,activity_pre_7d,1.0,0.0,0.5579115833358503,1,correct
activity_no_overlap,disturbance_0072,72.0,14,activity_pre_7d,1.0,0.0,0.6804365037069582,1,correct
activity_no_overlap,disturbance_0076,76.0,15,activity_pre_7d,1.0,0.0,0.7875600261984036,1,correct
activity_no_overlap,disturbance_0077,77.0,15,activity_pre_7d,0.9950396825396826,0.0,0.6081511214402416,1,correct
activity_no_overlap,disturbance_0082,82.0,17,activity_pre_7d,1.0,0.0,0.5519117252231983,1,correct
activity_no_overlap,disturbance_0083,83.0,17,activity_post_7d,1.0,0.0,0.43135604047274834,0,false_negative_activity
activity_no_overlap,disturbance_0088,88.0,18,activity_pre_7d,1.0,0.0,0.8323028403035427,1,correct
activity_no_overlap,disturbance_0093,93.0,18,activity_pre_7d,1.0,0.0,0.8494790640561856,1,correct
