source_event_id,substation_id,label_strength,fault_label,window_start,window_end,window_days,sample_count,expected_sample_count,coverage_rate,disturbance_count,disturbance_types,possible_anomaly_start,possible_anomaly_end,training_start,training_end,expansion_status,exclusion_reason,event67_flag
40,24,strict_positive,"Safety relief valve: Water loss, does not close properly",2016-03-31 07:47:00,2016-04-07 07:47:00,7.0,1003,1008.0,0.9950396825396826,3,"activity:2,fault:1",2016-04-05 13:00:00,2016-04-08 07:47:00,2015-11-20 00:00:00,2016-03-24 07:47:00,strict_accepted,,False
44,8,strict_positive,Temperature monitor/controller defective,2018-04-20 08:15:00,2018-04-27 08:15:00,7.0,1008,1008.0,1.0,0,,2018-04-26 06:00:00,2018-04-30 09:45:07,2015-09-24 18:00:00,2018-04-13 08:15:00,strict_accepted,,False
45,31,weak_positive,"Heat exchanger: Leakage, external",2020-01-06 15:48:00,2020-01-13 15:48:00,7.0,1008,1008.0,1.0,0,,,2020-01-14 17:57:05,2019-11-28 09:00:00,2019-12-30 15:48:00,weak_accepted,,False
47,28,strict_positive,Failure of the heating circuit pump,2020-01-06 10:55:00,2020-01-13 10:55:00,7.0,1008,1008.0,1.0,0,,2020-01-08 23:00:00,2020-01-14 10:47:32,2019-10-25 00:00:00,2019-12-30 10:55:00,strict_accepted,,False
49,18,strict_positive,Control unit: Incorrect parameterisation,2019-04-27 07:19:00,2019-05-04 07:19:00,7.0,1005,1008.0,0.9970238095238095,0,,2019-05-03 11:00:00,2019-05-05 07:19:00,2016-12-16 10:00:00,2019-04-20 07:19:00,strict_accepted,,False
52,21,strict_positive,Control unit: Incorrect parameterisation,2016-12-05 15:55:00,2016-12-12 15:55:00,7.0,1008,1008.0,1.0,1,fault:1,2016-12-11 20:00:00,2016-12-13 15:55:00,2015-11-30 09:00:00,2016-11-28 15:55:00,strict_accepted,,False
53,13,strict_positive,Shut-off valve closed,2020-05-19 10:00:00,2020-05-26 10:00:00,7.0,1008,1008.0,1.0,0,,2020-05-25 03:00:00,2020-05-27 18:42:13,2016-07-27 15:17:00,2020-05-12 10:00:00,strict_accepted,,False
57,9,strict_positive,Differential pressure regulator defective,2020-02-17 21:13:00,2020-02-24 21:13:00,7.0,1008,1008.0,1.0,0,,2020-02-24 17:45:00,2020-02-25 18:11:43,2015-02-26 14:00:00,2020-02-10 21:13:00,strict_accepted,,False
62,21,weak_positive,Control unit: Incorrect parameterisation,2019-01-14 08:17:00,2019-01-21 08:17:00,7.0,1008,1008.0,1.0,0,,,2019-01-22 00:10:43,2017-01-21 08:17:00,2019-01-07 08:17:00,weak_accepted,,False
64,6,strict_positive,Differential pressure regulator defective,2019-04-09 09:41:00,2019-04-16 09:41:00,7.0,1008,1008.0,1.0,0,,2019-04-13 06:00:00,2019-04-17 10:49:46,2019-03-13 09:10:00,2019-04-02 09:41:00,strict_accepted,,False
65,11,weak_positive,Leakage,2019-01-07 11:58:00,2019-01-14 11:58:00,7.0,1008,1008.0,1.0,0,,,2019-01-14 20:29:40,2016-12-31 11:58:00,2018-12-31 11:58:00,weak_accepted,,False
67,7,strict_positive,Motorised control valve (primary side) defective,2017-11-19 13:15:00,2017-11-26 13:15:00,7.0,1008,1008.0,1.0,0,,2017-04-23 01:00:00,2017-11-27 13:15:00,2015-04-12 00:00:00,2017-04-11 00:00:00,strict_accepted,,True
69,26,weak_positive,unknown,2020-03-03 15:49:00,2020-03-10 15:49:00,7.0,1008,1008.0,1.0,0,,,2020-03-11 19:31:31,2018-10-18 13:00:00,,unknown_review,unknown_fault_label;missing_training_end,False
