sample_id,source_event_id,substation_id,label,review_tag,y_true,fold,reference_probability,reference_pred,reference_prediction_label,reference_error_type,expanded_probability,expanded_pred,expanded_prediction_label,expanded_error_type,transition_type,probability_delta,window_start,window_end,coverage_rate,fault_label
strict_positive_0053,53,13,efd_possible,,1,1,0.7566687476921886,1,efd_possible,OK,0.9813952863841088,1,efd_possible,OK,unchanged_correct,0.22472653869192016,2020-05-19 10:00:00,2020-05-26 10:00:00,1.0,Shut-off valve closed
normal_0004,4,15,normal,,0,2,0.0145440874202108,0,normal,OK,0.0033746864957418,0,normal,OK,unchanged_correct,-0.011169400924469,2019-03-01 00:00:00,2019-03-08 00:00:00,1.0,
normal_0008,8,6,normal,hard_normal_metadata,0,2,0.0876704052819733,0,normal,OK,0.0633426356453753,0,normal,OK,unchanged_correct,-0.024327769636597996,2020-06-02 00:00:00,2020-06-09 00:00:00,1.0,
normal_0017,17,2,normal,,0,2,0.0557692541671292,0,normal,OK,0.0612985753556355,0,normal,OK,unchanged_correct,0.0055293211885063046,2018-02-27 00:00:00,2018-03-06 00:00:00,1.0,
normal_0039,39,15,normal,hard_normal_metadata,0,2,0.0460720063833989,0,normal,OK,0.0291381733979617,0,normal,OK,unchanged_correct,-0.0169338329854372,2018-09-30 00:00:00,2018-10-07 00:00:00,1.0,
normal_0041,41,2,normal,,0,2,0.0218281842668313,0,normal,OK,0.1301357785731172,0,normal,OK,unchanged_correct,0.10830759430628589,2016-09-16 00:00:00,2016-09-23 00:00:00,1.0,
normal_0056,56,2,normal,,0,2,0.0344963413238337,0,normal,OK,0.0694053890808399,0,normal,OK,unchanged_correct,0.0349090477570062,2018-11-29 00:00:00,2018-12-06 00:00:00,1.0,
strict_positive_0010,10,30,efd_possible,,1,2,0.9999987313067276,1,efd_possible,OK,0.9999989714882302,1,efd_possible,OK,unchanged_correct,2.40181502686454e-07,2020-03-09 15:04:00,2020-03-16 15:04:00,1.0,Leakage
strict_positive_0047,47,28,efd_possible,,1,2,0.9459591172998018,1,efd_possible,OK,0.8873363576180282,1,efd_possible,OK,unchanged_correct,-0.05862275968177355,2020-01-06 10:55:00,2020-01-13 10:55:00,1.0,Failure of the heating circuit pump
strict_positive_0064,64,6,efd_possible,,1,2,0.7707402498319991,1,efd_possible,OK,0.8668917407329072,1,efd_possible,OK,unchanged_correct,0.09615149090090813,2019-04-09 09:41:00,2019-04-16 09:41:00,1.0,Differential pressure regulator defective
normal_0002,2,9,normal,,0,3,0.3313631964135971,0,normal,OK,0.3304527339666397,0,normal,OK,unchanged_correct,-0.0009104624469574163,2019-01-02 00:00:00,2019-01-09 00:00:00,1.0,
normal_0016,16,17,normal,,0,3,0.0552672689914383,0,normal,OK,0.0126610945704733,0,normal,OK,unchanged_correct,-0.042606174420965,2017-10-15 00:00:00,2017-10-22 00:00:00,1.0,
normal_0025,25,20,normal,,0,3,0.0782025632892657,0,normal,OK,0.0745936355220493,0,normal,OK,unchanged_correct,-0.0036089277672163994,2017-01-31 00:00:00,2017-02-07 00:00:00,1.0,
normal_0028,28,7,normal,,0,3,0.5095080407584968,0,normal,OK,0.965006513321115,1,efd_possible,FP,new_error,0.4554984725626182,2019-01-01 10:29:00,2019-01-08 10:29:00,1.0,
normal_0031,31,3,normal,,0,3,0.0364236931598053,0,normal,OK,0.0542867053627979,0,normal,OK,unchanged_correct,0.0178630122029926,2019-09-01 00:00:00,2019-09-08 00:00:00,1.0,
normal_0033,33,3,normal,hard_normal_metadata,0,3,0.3051078130441837,0,normal,OK,0.4467057490508653,0,normal,OK,unchanged_correct,0.14159793600668158,2019-01-11 00:00:00,2019-01-18 00:00:00,1.0,
normal_0050,50,17,normal,,0,3,0.026536023395767,0,normal,OK,0.017276604988493,0,normal,OK,unchanged_correct,-0.009259418407274001,2016-11-09 00:00:00,2016-11-16 00:00:00,1.0,
normal_0051,51,20,normal,,0,3,0.0433430600299186,0,normal,OK,0.0129458030991669,0,normal,OK,unchanged_correct,-0.0303972569307517,2020-04-01 00:00:00,2020-04-08 00:00:00,1.0,
strict_positive_0049,49,18,efd_possible,,1,3,0.9654102903708413,1,efd_possible,OK,0.9712162755228512,1,efd_possible,OK,unchanged_correct,0.005805985152009918,2019-04-27 07:19:00,2019-05-04 07:19:00,0.9970238095238096,Control unit: Incorrect parameterisation
strict_positive_0057,57,9,efd_possible,,1,3,0.8201611231819496,1,efd_possible,OK,0.9839865890259232,1,efd_possible,OK,unchanged_correct,0.16382546584397362,2020-02-17 21:13:00,2020-02-24 21:13:00,1.0,Differential pressure regulator defective
strict_positive_0067,67,7,efd_possible,,1,3,0.4187403805519353,0,normal,FN,0.951586109270321,1,efd_possible,OK,corrected_error,0.5328457287183856,2017-11-19 13:15:00,2017-11-26 13:15:00,1.0,Motorised control valve (primary side) defective
normal_0014,14,26,normal,,0,4,0.1142841157221394,0,normal,OK,0.2993385665126889,0,normal,OK,unchanged_correct,0.18505445079054952,2019-12-08 00:00:00,2019-12-15 00:00:00,1.0,
normal_0018,18,16,normal,,0,4,0.3168360309818132,0,normal,OK,0.4463494480032069,0,normal,OK,unchanged_correct,0.12951341702139374,2018-11-30 00:00:00,2018-12-07 00:00:00,1.0,
normal_0021,21,1,normal,,0,4,0.0080686789561732,0,normal,OK,0.0168005424778473,0,normal,OK,unchanged_correct,0.008731863521674101,2019-12-01 00:00:00,2019-12-08 00:00:00,1.0,
normal_0026,26,4,normal,,0,4,0.0885095528076369,0,normal,OK,0.1144195146123376,0,normal,OK,unchanged_correct,0.025909961804700704,2018-02-19 00:00:00,2018-02-26 00:00:00,1.0,
normal_0030,30,16,normal,,0,4,0.0087933014176128,0,normal,OK,0.001946745839326,0,normal,OK,unchanged_correct,-0.0068465555782868,2018-02-28 00:00:00,2018-03-07 00:00:00,1.0,
normal_0046,46,4,normal,,0,4,0.0462455073631161,0,normal,OK,0.0164946809291142,0,normal,OK,unchanged_correct,-0.029750826434001898,2018-06-19 00:00:00,2018-06-26 00:00:00,1.0,
strict_positive_0007,7,26,efd_possible,,1,4,0.999999223814073,1,efd_possible,OK,0.9999967757186388,1,efd_possible,OK,unchanged_correct,-2.4480954342598338e-06,2020-06-06 10:38:00,2020-06-13 10:38:00,1.0,Incorrect setting of the differential pressure regulator
strict_positive_0015,15,29,efd_possible,,1,4,0.0276976494541117,0,normal,FN,0.2185177286664679,0,normal,FN,unchanged_error,0.1908200792123562,2020-02-29 07:59:43,2020-03-07 07:59:43,1.0,Failure of the domestic hot water storage charging pump
strict_positive_0052,52,21,efd_possible,,1,4,0.1208245724679175,0,normal,FN,0.5642808728122127,0,normal,FN,unchanged_error,0.44345630034429523,2016-12-05 15:55:00,2016-12-12 15:55:00,1.0,Control unit: Incorrect parameterisation
normal_0012,12,19,normal,,0,5,0.0297413309121295,0,normal,OK,0.0006780286002434,0,normal,OK,unchanged_correct,-0.0290633023118861,2017-09-30 00:00:00,2017-10-07 00:00:00,1.0,
normal_0022,22,5,normal,,0,5,0.1424904527828785,0,normal,OK,0.2020436739812897,0,normal,OK,unchanged_correct,0.059553221198411194,2017-09-13 00:00:00,2017-09-20 00:00:00,1.0,
normal_0027,27,12,normal,hard_normal_metadata,0,5,0.6713412223361914,1,efd_possible,FP,0.9824353806720636,1,efd_possible,FP,unchanged_error,0.3110941583358722,2015-06-24 13:34:00,2015-07-01 13:34:00,1.0,
normal_0055,55,23,normal,,0,5,0.0460902312534061,0,normal,OK,0.0142300222515707,0,normal,OK,unchanged_correct,-0.03186020900183539,2017-10-06 00:00:00,2017-10-13 00:00:00,1.0,
normal_0058,58,5,normal,,0,5,0.1487862603587225,0,normal,OK,0.1032857969244821,0,normal,OK,unchanged_correct,-0.0455004634342404,2018-02-28 00:00:00,2018-03-07 00:00:00,1.0,
normal_0061,61,14,normal,,0,5,0.1667639578261138,0,normal,OK,0.2607390375317404,0,normal,OK,unchanged_correct,0.09397507970562657,2019-12-05 00:00:00,2019-12-12 00:00:00,1.0,
normal_0066,66,19,normal,,0,5,0.0081640538227665,0,normal,OK,0.0008341039870467,0,normal,OK,unchanged_correct,-0.0073299498357198,2017-06-14 00:00:00,2017-06-21 00:00:00,1.0,
strict_positive_0003,3,12,efd_possible,,1,5,0.884324220899756,1,efd_possible,OK,0.99381398171003,1,efd_possible,OK,unchanged_correct,0.10948976081027395,2015-11-24 10:56:00,2015-12-01 10:56:00,1.0,Control unit: Incorrect parameterisation
strict_positive_0040,40,24,efd_possible,,1,5,0.0536311239117687,0,normal,FN,0.3021239412662708,0,normal,FN,unchanged_error,0.2484928173545021,2016-03-31 07:47:00,2016-04-07 07:47:00,0.9950396825396826,"Safety relief valve: Water loss, does not close properly"
