candidate_kind,candidate_id,source_event_id,substation_id,window_start,window_end,sample_count,expected_sample_count,coverage_rate,audit_status,exclusion_reason,fault_label,efd_possible,disturbance_count,fault_window_overlap,fixed_eval_window_overlap
weak_positive,weak_positive_0064,64.0,6,,,0,1008,,excluded,duplicate_fixed_eval,Differential pressure regulator defective,True,,,
weak_positive,weak_positive_0065,65.0,11,2019-01-07 11:58:00,2019-01-14 11:58:00,1008,1008,1.0,accepted,,Leakage,True,,,
weak_positive,weak_positive_0067,67.0,7,,,0,1008,,excluded,duplicate_fixed_eval,Motorised control valve (primary side) defective,True,,,
weak_positive,weak_positive_0069,69.0,26,,,0,1008,,excluded,excluded_event_policy,unknown,True,,,
candidate_normal,candidate_normal_s01_20180611,,1,2018-06-11 00:00:00,2018-06-18 00:00:00,1008,1008,1.0,accepted,,,,0.0,False,False
candidate_normal,candidate_normal_s01_20180711,,1,2018-07-11 00:00:00,2018-07-18 00:00:00,1008,1008,1.0,accepted,,,,0.0,False,False
candidate_normal,candidate_normal_s01_20180810,,1,2018-08-10 00:00:00,2018-08-17 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20180909,,1,2018-09-09 00:00:00,2018-09-16 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20181009,,1,2018-10-09 00:00:00,2018-10-16 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20181108,,1,2018-11-08 00:00:00,2018-11-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20181208,,1,2018-12-08 00:00:00,2018-12-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190107,,1,2019-01-07 00:00:00,2019-01-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190206,,1,2019-02-06 00:00:00,2019-02-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190308,,1,2019-03-08 00:00:00,2019-03-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190407,,1,2019-04-07 00:00:00,2019-04-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190507,,1,2019-05-07 00:00:00,2019-05-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190606,,1,2019-06-06 00:00:00,2019-06-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190706,,1,2019-07-06 00:00:00,2019-07-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190805,,1,2019-08-05 00:00:00,2019-08-12 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20190904,,1,2019-09-04 00:00:00,2019-09-11 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20191004,,1,2019-10-04 00:00:00,2019-10-11 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20191103,,1,2019-11-03 00:00:00,2019-11-10 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20191203,,1,2019-12-03 00:00:00,2019-12-10 00:00:00,1008,1008,1.0,excluded,fixed_eval_window_overlap|substation_quota_full,,,0.0,False,True
candidate_normal,candidate_normal_s01_20200102,,1,2020-01-02 00:00:00,2020-01-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20200201,,1,2020-02-01 00:00:00,2020-02-08 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20200302,,1,2020-03-02 00:00:00,2020-03-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20200401,,1,2020-04-01 00:00:00,2020-04-08 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20200501,,1,2020-05-01 00:00:00,2020-05-08 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20200531,,1,2020-05-31 00:00:00,2020-06-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s01_20200630,,1,2020-06-30 00:00:00,2020-07-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150216,,2,2015-02-16 00:00:00,2015-02-23 00:00:00,1008,1008,1.0,accepted,,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150318,,2,2015-03-18 00:00:00,2015-03-25 00:00:00,1008,1008,1.0,accepted,,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150417,,2,2015-04-17 00:00:00,2015-04-24 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150517,,2,2015-05-17 00:00:00,2015-05-24 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150616,,2,2015-06-16 00:00:00,2015-06-23 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150716,,2,2015-07-16 00:00:00,2015-07-23 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150815,,2,2015-08-15 00:00:00,2015-08-22 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20150914,,2,2015-09-14 00:00:00,2015-09-21 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20151014,,2,2015-10-14 00:00:00,2015-10-21 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20151113,,2,2015-11-13 00:00:00,2015-11-20 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20151213,,2,2015-12-13 00:00:00,2015-12-20 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160112,,2,2016-01-12 00:00:00,2016-01-19 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160211,,2,2016-02-11 00:00:00,2016-02-18 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160312,,2,2016-03-12 00:00:00,2016-03-19 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160411,,2,2016-04-11 00:00:00,2016-04-18 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160511,,2,2016-05-11 00:00:00,2016-05-18 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160610,,2,2016-06-10 00:00:00,2016-06-17 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160710,,2,2016-07-10 00:00:00,2016-07-17 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160809,,2,2016-08-09 00:00:00,2016-08-16 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20160908,,2,2016-09-08 00:00:00,2016-09-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20161008,,2,2016-10-08 00:00:00,2016-10-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20161107,,2,2016-11-07 00:00:00,2016-11-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20161207,,2,2016-12-07 00:00:00,2016-12-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170106,,2,2017-01-06 00:00:00,2017-01-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170205,,2,2017-02-05 00:00:00,2017-02-12 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170307,,2,2017-03-07 00:00:00,2017-03-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170406,,2,2017-04-06 00:00:00,2017-04-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170506,,2,2017-05-06 00:00:00,2017-05-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170605,,2,2017-06-05 00:00:00,2017-06-12 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170705,,2,2017-07-05 00:00:00,2017-07-12 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170804,,2,2017-08-04 00:00:00,2017-08-11 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20170903,,2,2017-09-03 00:00:00,2017-09-10 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20171003,,2,2017-10-03 00:00:00,2017-10-10 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20171102,,2,2017-11-02 00:00:00,2017-11-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20171202,,2,2017-12-02 00:00:00,2017-12-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180101,,2,2018-01-01 00:00:00,2018-01-08 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180131,,2,2018-01-31 00:00:00,2018-02-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180302,,2,2018-03-02 00:00:00,2018-03-09 00:00:00,1008,1008,1.0,excluded,fixed_eval_window_overlap|substation_quota_full,,,0.0,False,True
candidate_normal,candidate_normal_s02_20180401,,2,2018-04-01 00:00:00,2018-04-08 00:00:00,1003,1008,0.9950396825396826,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180501,,2,2018-05-01 00:00:00,2018-05-08 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180531,,2,2018-05-31 00:00:00,2018-06-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180630,,2,2018-06-30 00:00:00,2018-07-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180730,,2,2018-07-30 00:00:00,2018-08-06 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180829,,2,2018-08-29 00:00:00,2018-09-05 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20180928,,2,2018-09-28 00:00:00,2018-10-05 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20181028,,2,2018-10-28 00:00:00,2018-11-04 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20181127,,2,2018-11-27 00:00:00,2018-12-04 00:00:00,1008,1008,1.0,excluded,fixed_eval_window_overlap|substation_quota_full,,,0.0,False,True
candidate_normal,candidate_normal_s02_20181227,,2,2018-12-27 00:00:00,2019-01-03 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190126,,2,2019-01-26 00:00:00,2019-02-02 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190225,,2,2019-02-25 00:00:00,2019-03-04 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190327,,2,2019-03-27 00:00:00,2019-04-03 00:00:00,781,1008,0.7748015873015873,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190426,,2,2019-04-26 00:00:00,2019-05-03 00:00:00,881,1008,0.8740079365079365,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190526,,2,2019-05-26 00:00:00,2019-06-02 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190625,,2,2019-06-25 00:00:00,2019-07-02 00:00:00,0,1008,0.0,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190725,,2,2019-07-25 00:00:00,2019-08-01 00:00:00,0,1008,0.0,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190824,,2,2019-08-24 00:00:00,2019-08-31 00:00:00,0,1008,0.0,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20190923,,2,2019-09-23 00:00:00,2019-09-30 00:00:00,0,1008,0.0,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20191023,,2,2019-10-23 00:00:00,2019-10-30 00:00:00,592,1008,0.5873015873015873,excluded,low_coverage|substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20191122,,2,2019-11-22 00:00:00,2019-11-29 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20191222,,2,2019-12-22 00:00:00,2019-12-29 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200121,,2,2020-01-21 00:00:00,2020-01-28 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200220,,2,2020-02-20 00:00:00,2020-02-27 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200321,,2,2020-03-21 00:00:00,2020-03-28 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200420,,2,2020-04-20 00:00:00,2020-04-27 00:00:00,1005,1008,0.9970238095238095,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200520,,2,2020-05-20 00:00:00,2020-05-27 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200619,,2,2020-06-19 00:00:00,2020-06-26 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s02_20200719,,2,2020-07-19 00:00:00,2020-07-26 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20151110,,3,2015-11-10 00:00:00,2015-11-17 00:00:00,1000,1008,0.9920634920634921,accepted,,,,0.0,False,False
candidate_normal,candidate_normal_s03_20151210,,3,2015-12-10 00:00:00,2015-12-17 00:00:00,1008,1008,1.0,accepted,,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160109,,3,2016-01-09 00:00:00,2016-01-16 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160208,,3,2016-02-08 00:00:00,2016-02-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160309,,3,2016-03-09 00:00:00,2016-03-16 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160408,,3,2016-04-08 00:00:00,2016-04-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160508,,3,2016-05-08 00:00:00,2016-05-15 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160607,,3,2016-06-07 00:00:00,2016-06-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160707,,3,2016-07-07 00:00:00,2016-07-14 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160806,,3,2016-08-06 00:00:00,2016-08-13 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20160905,,3,2016-09-05 00:00:00,2016-09-12 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20161005,,3,2016-10-05 00:00:00,2016-10-12 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20161104,,3,2016-11-04 00:00:00,2016-11-11 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20161204,,3,2016-12-04 00:00:00,2016-12-11 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170103,,3,2017-01-03 00:00:00,2017-01-10 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170202,,3,2017-02-02 00:00:00,2017-02-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170304,,3,2017-03-04 00:00:00,2017-03-11 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170403,,3,2017-04-03 00:00:00,2017-04-10 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170503,,3,2017-05-03 00:00:00,2017-05-10 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170602,,3,2017-06-02 00:00:00,2017-06-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170702,,3,2017-07-02 00:00:00,2017-07-09 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170801,,3,2017-08-01 00:00:00,2017-08-08 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170831,,3,2017-08-31 00:00:00,2017-09-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20170930,,3,2017-09-30 00:00:00,2017-10-07 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20171030,,3,2017-10-30 00:00:00,2017-11-06 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20171129,,3,2017-11-29 00:00:00,2017-12-06 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20171229,,3,2017-12-29 00:00:00,2018-01-05 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180128,,3,2018-01-28 00:00:00,2018-02-04 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180227,,3,2018-02-27 00:00:00,2018-03-06 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180329,,3,2018-03-29 00:00:00,2018-04-05 00:00:00,1003,1008,0.9950396825396826,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180428,,3,2018-04-28 00:00:00,2018-05-05 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180528,,3,2018-05-28 00:00:00,2018-06-04 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180627,,3,2018-06-27 00:00:00,2018-07-04 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180727,,3,2018-07-27 00:00:00,2018-08-03 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180826,,3,2018-08-26 00:00:00,2018-09-02 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20180925,,3,2018-09-25 00:00:00,2018-10-02 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20181025,,3,2018-10-25 00:00:00,2018-11-01 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20181124,,3,2018-11-24 00:00:00,2018-12-01 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20181224,,3,2018-12-24 00:00:00,2018-12-31 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190123,,3,2019-01-23 00:00:00,2019-01-30 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190222,,3,2019-02-22 00:00:00,2019-03-01 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190324,,3,2019-03-24 00:00:00,2019-03-31 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190423,,3,2019-04-23 00:00:00,2019-04-30 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190523,,3,2019-05-23 00:00:00,2019-05-30 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190622,,3,2019-06-22 00:00:00,2019-06-29 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
candidate_normal,candidate_normal_s03_20190722,,3,2019-07-22 00:00:00,2019-07-29 00:00:00,1008,1008,1.0,excluded,substation_quota_full,,,0.0,False,False
