sample_id,manufacturer,source_event_id,substation_id,manufacturer_substation_id,label,window_policy,fault_group,fault_label,system_capability_group,coverage_rate,main_eligible,exclude_reason
M1_normal_0042,M1,42,22,M1_22,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0043,M1,43,25,M1_25,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M1_normal_0046,M1,46,4,M1_4,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0048,M1,48,11,M1_11,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0050,M1,50,17,M1_17,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0051,M1,51,20,M1_20,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0054,M1,54,22,M1_22,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0055,M1,55,23,M1_23,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0056,M1,56,2,M1_2,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M1_normal_0058,M1,58,5,M1_5,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0059,M1,59,22,M1_22,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0061,M1,61,14,M1_14,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0066,M1,66,19,M1_19,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0068,M1,68,13,M1_13,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0043,M2,43,24,M2_24,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0044,M2,44,53,M2_53,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0045,M2,45,53,M2_53,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0046,M2,46,8,M2_8,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0047,M2,47,35,M2_35,normal,normal_event_7d,normal,,dhw_storage,0.9990079365079365,True,
M2_normal_0048,M2,48,59,M2_59,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0049,M2,49,43,M2_43,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0050,M2,50,11,M2_11,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0051,M2,51,26,M2_26,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0052,M2,52,52,M2_52,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0053,M2,53,52,M2_52,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0054,M2,54,52,M2_52,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0055,M2,55,52,M2_52,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0056,M2,56,19,M2_19,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0057,M2,57,19,M2_19,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0058,M2,58,19,M2_19,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0059,M2,59,10,M2_10,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0060,M2,60,10,M2_10,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0061,M2,61,4,M2_4,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0062,M2,62,4,M2_4,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0063,M2,63,4,M2_4,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0064,M2,64,7,M2_7,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M2_normal_0065,M2,65,9,M2_9,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0066,M2,66,12,M2_12,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0067,M2,67,31,M2_31,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M2_normal_0068,M2,68,40,M2_40,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M2_normal_0069,M2,69,40,M2_40,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M2_normal_0070,M2,70,49,M2_49,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M2_normal_0071,M2,71,55,M2_55,normal,normal_event_7d,normal,,dhw_supply,1.0,True,
M2_normal_0072,M2,72,60,M2_60,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_pre_event_0001_report_pre_7d,M1,1,10,M1_10,pre_event,report_pre_7d,valve_actuator,Motorised control valve (primary side): Actuator defective,dhw_storage,1.0,True,
M1_pre_event_0001_report_pre_5d,M1,1,10,M1_10,pre_event,report_pre_5d,valve_actuator,Motorised control valve (primary side): Actuator defective,dhw_storage,1.0,True,
M1_pre_event_0001_report_pre_3d,M1,1,10,M1_10,pre_event,report_pre_3d,valve_actuator,Motorised control valve (primary side): Actuator defective,dhw_storage,1.0,True,
M1_pre_event_0001_report_pre_1d,M1,1,10,M1_10,pre_event,report_pre_1d,valve_actuator,Motorised control valve (primary side): Actuator defective,dhw_storage,1.0,True,
M1_pre_event_0003_report_pre_7d,M1,3,12,M1_12,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0003_report_pre_5d,M1,3,12,M1_12,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0003_report_pre_3d,M1,3,12,M1_12,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0003_report_pre_1d,M1,3,12,M1_12,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0005_report_pre_7d,M1,5,11,M1_11,pre_event,report_pre_7d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0005_report_pre_5d,M1,5,11,M1_11,pre_event,report_pre_5d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0005_report_pre_3d,M1,5,11,M1_11,pre_event,report_pre_3d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0005_report_pre_1d,M1,5,11,M1_11,pre_event,report_pre_1d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0006_report_pre_7d,M1,6,21,M1_21,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0006_report_pre_5d,M1,6,21,M1_21,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0006_report_pre_3d,M1,6,21,M1_21,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0006_report_pre_1d,M1,6,21,M1_21,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0007_report_pre_7d,M1,7,26,M1_26,pre_event,report_pre_7d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage_return,1.0,True,
M1_pre_event_0007_report_pre_5d,M1,7,26,M1_26,pre_event,report_pre_5d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage_return,1.0,True,
M1_pre_event_0007_report_pre_3d,M1,7,26,M1_26,pre_event,report_pre_3d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage_return,1.0,True,
M1_pre_event_0007_report_pre_1d,M1,7,26,M1_26,pre_event,report_pre_1d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage_return,1.0,True,
M1_pre_event_0010_report_pre_7d,M1,10,30,M1_30,pre_event,report_pre_7d,leakage_water_loss,Leakage,dhw_storage_return,1.0,True,
M1_pre_event_0010_report_pre_5d,M1,10,30,M1_30,pre_event,report_pre_5d,leakage_water_loss,Leakage,dhw_storage_return,1.0,True,
M1_pre_event_0010_report_pre_3d,M1,10,30,M1_30,pre_event,report_pre_3d,leakage_water_loss,Leakage,dhw_storage_return,1.0,True,
M1_pre_event_0010_report_pre_1d,M1,10,30,M1_30,pre_event,report_pre_1d,leakage_water_loss,Leakage,dhw_storage_return,1.0,True,
M1_pre_event_0013_report_pre_7d,M1,13,24,M1_24,pre_event,report_pre_7d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0013_report_pre_5d,M1,13,24,M1_24,pre_event,report_pre_5d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0013_report_pre_3d,M1,13,24,M1_24,pre_event,report_pre_3d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0013_report_pre_1d,M1,13,24,M1_24,pre_event,report_pre_1d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0015_report_pre_7d,M1,15,29,M1_29,pre_event,report_pre_7d,pump_failure,Failure of the domestic hot water storage charging pump,dhw_storage_return,1.0,True,
M1_pre_event_0015_report_pre_5d,M1,15,29,M1_29,pre_event,report_pre_5d,pump_failure,Failure of the domestic hot water storage charging pump,dhw_storage_return,1.0,True,
M1_pre_event_0015_report_pre_3d,M1,15,29,M1_29,pre_event,report_pre_3d,pump_failure,Failure of the domestic hot water storage charging pump,dhw_storage_return,1.0,True,
M1_pre_event_0015_report_pre_1d,M1,15,29,M1_29,pre_event,report_pre_1d,pump_failure,Failure of the domestic hot water storage charging pump,dhw_storage_return,1.0,True,
M1_pre_event_0020_report_pre_7d,M1,20,11,M1_11,pre_event,report_pre_7d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,0.7242063492063492,False,low_coverage
M1_pre_event_0020_report_pre_5d,M1,20,11,M1_11,pre_event,report_pre_5d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,0.6138888888888889,False,low_coverage
M1_pre_event_0020_report_pre_3d,M1,20,11,M1_11,pre_event,report_pre_3d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,0.35648148148148145,False,low_coverage
M1_pre_event_0020_report_pre_1d,M1,20,11,M1_11,pre_event,report_pre_1d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,0.09722222222222222,False,low_coverage
M1_pre_event_0023_report_pre_7d,M1,23,27,M1_27,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0023_report_pre_5d,M1,23,27,M1_27,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0023_report_pre_3d,M1,23,27,M1_27,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0023_report_pre_1d,M1,23,27,M1_27,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,1.0,True,
M1_pre_event_0024_report_pre_7d,M1,24,13,M1_13,pre_event,report_pre_7d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0024_report_pre_5d,M1,24,13,M1_13,pre_event,report_pre_5d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0024_report_pre_3d,M1,24,13,M1_13,pre_event,report_pre_3d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0024_report_pre_1d,M1,24,13,M1_13,pre_event,report_pre_1d,pump_failure,Failure of the heating circuit pump,dhw_storage,1.0,True,
M1_pre_event_0029_report_pre_7d,M1,29,17,M1_17,pre_event,report_pre_7d,valve_actuator,Motorised control valve (primary side): Control valve jams when closed,dhw_storage,1.0,True,
M1_pre_event_0029_report_pre_5d,M1,29,17,M1_17,pre_event,report_pre_5d,valve_actuator,Motorised control valve (primary side): Control valve jams when closed,dhw_storage,1.0,True,
M1_pre_event_0029_report_pre_3d,M1,29,17,M1_17,pre_event,report_pre_3d,valve_actuator,Motorised control valve (primary side): Control valve jams when closed,dhw_storage,1.0,True,
M1_pre_event_0029_report_pre_1d,M1,29,17,M1_17,pre_event,report_pre_1d,valve_actuator,Motorised control valve (primary side): Control valve jams when closed,dhw_storage,1.0,True,
M1_pre_event_0032_report_pre_7d,M1,32,21,M1_21,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0032_report_pre_5d,M1,32,21,M1_21,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0032_report_pre_3d,M1,32,21,M1_21,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0032_report_pre_1d,M1,32,21,M1_21,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0034_report_pre_7d,M1,34,20,M1_20,pre_event,report_pre_7d,unknown_review,unknown,dhw_storage,1.0,False,unknown_fault_label
M1_pre_event_0034_report_pre_5d,M1,34,20,M1_20,pre_event,report_pre_5d,unknown_review,unknown,dhw_storage,1.0,False,unknown_fault_label
M1_pre_event_0034_report_pre_3d,M1,34,20,M1_20,pre_event,report_pre_3d,unknown_review,unknown,dhw_storage,1.0,False,unknown_fault_label
M1_pre_event_0034_report_pre_1d,M1,34,20,M1_20,pre_event,report_pre_1d,unknown_review,unknown,dhw_storage,1.0,False,unknown_fault_label
M1_pre_event_0037_report_pre_7d,M1,37,19,M1_19,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0037_report_pre_5d,M1,37,19,M1_19,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0037_report_pre_3d,M1,37,19,M1_19,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0037_report_pre_1d,M1,37,19,M1_19,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0038_report_pre_7d,M1,38,24,M1_24,pre_event,report_pre_7d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M1_pre_event_0038_report_pre_5d,M1,38,24,M1_24,pre_event,report_pre_5d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M1_pre_event_0038_report_pre_3d,M1,38,24,M1_24,pre_event,report_pre_3d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M1_pre_event_0038_report_pre_1d,M1,38,24,M1_24,pre_event,report_pre_1d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M1_pre_event_0040_report_pre_7d,M1,40,24,M1_24,pre_event,report_pre_7d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,0.9950396825396826,True,
M1_pre_event_0040_report_pre_5d,M1,40,24,M1_24,pre_event,report_pre_5d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,0.9930555555555556,True,
M1_pre_event_0040_report_pre_3d,M1,40,24,M1_24,pre_event,report_pre_3d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,1.0,True,
M1_pre_event_0040_report_pre_1d,M1,40,24,M1_24,pre_event,report_pre_1d,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",dhw_storage,1.0,True,
M1_pre_event_0044_report_pre_7d,M1,44,8,M1_8,pre_event,report_pre_7d,control_controller,Temperature monitor/controller defective,dhw_storage_return,1.0,True,
M1_pre_event_0044_report_pre_5d,M1,44,8,M1_8,pre_event,report_pre_5d,control_controller,Temperature monitor/controller defective,dhw_storage_return,1.0,True,
M1_pre_event_0044_report_pre_3d,M1,44,8,M1_8,pre_event,report_pre_3d,control_controller,Temperature monitor/controller defective,dhw_storage_return,1.0,True,
M1_pre_event_0044_report_pre_1d,M1,44,8,M1_8,pre_event,report_pre_1d,control_controller,Temperature monitor/controller defective,dhw_storage_return,1.0,True,
M1_pre_event_0045_report_pre_7d,M1,45,31,M1_31,pre_event,report_pre_7d,leakage_water_loss,"Heat exchanger: Leakage, external",dhw_storage,1.0,True,
M1_pre_event_0045_report_pre_5d,M1,45,31,M1_31,pre_event,report_pre_5d,leakage_water_loss,"Heat exchanger: Leakage, external",dhw_storage,1.0,True,
M1_pre_event_0045_report_pre_3d,M1,45,31,M1_31,pre_event,report_pre_3d,leakage_water_loss,"Heat exchanger: Leakage, external",dhw_storage,1.0,True,
M1_pre_event_0045_report_pre_1d,M1,45,31,M1_31,pre_event,report_pre_1d,leakage_water_loss,"Heat exchanger: Leakage, external",dhw_storage,1.0,True,
M1_pre_event_0047_report_pre_7d,M1,47,28,M1_28,pre_event,report_pre_7d,pump_failure,Failure of the heating circuit pump,heating_common_only,1.0,True,
M1_pre_event_0047_report_pre_5d,M1,47,28,M1_28,pre_event,report_pre_5d,pump_failure,Failure of the heating circuit pump,heating_common_only,1.0,True,
M1_pre_event_0047_report_pre_3d,M1,47,28,M1_28,pre_event,report_pre_3d,pump_failure,Failure of the heating circuit pump,heating_common_only,1.0,True,
M1_pre_event_0047_report_pre_1d,M1,47,28,M1_28,pre_event,report_pre_1d,pump_failure,Failure of the heating circuit pump,heating_common_only,1.0,True,
M1_pre_event_0049_report_pre_7d,M1,49,18,M1_18,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,0.9970238095238095,True,
M1_pre_event_0049_report_pre_5d,M1,49,18,M1_18,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,0.9958333333333333,True,
M1_pre_event_0049_report_pre_3d,M1,49,18,M1_18,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,0.9930555555555556,True,
M1_pre_event_0049_report_pre_1d,M1,49,18,M1_18,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage,0.9791666666666666,True,
M1_pre_event_0052_report_pre_7d,M1,52,21,M1_21,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0052_report_pre_5d,M1,52,21,M1_21,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0052_report_pre_3d,M1,52,21,M1_21,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0052_report_pre_1d,M1,52,21,M1_21,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0053_report_pre_7d,M1,53,13,M1_13,pre_event,report_pre_7d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M1_pre_event_0053_report_pre_5d,M1,53,13,M1_13,pre_event,report_pre_5d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M1_pre_event_0053_report_pre_3d,M1,53,13,M1_13,pre_event,report_pre_3d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M1_pre_event_0053_report_pre_1d,M1,53,13,M1_13,pre_event,report_pre_1d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M1_pre_event_0057_report_pre_7d,M1,57,9,M1_9,pre_event,report_pre_7d,pressure_regulator,Differential pressure regulator defective,dhw_storage,1.0,True,
M1_pre_event_0057_report_pre_5d,M1,57,9,M1_9,pre_event,report_pre_5d,pressure_regulator,Differential pressure regulator defective,dhw_storage,1.0,True,
M1_pre_event_0057_report_pre_3d,M1,57,9,M1_9,pre_event,report_pre_3d,pressure_regulator,Differential pressure regulator defective,dhw_storage,1.0,True,
M1_pre_event_0057_report_pre_1d,M1,57,9,M1_9,pre_event,report_pre_1d,pressure_regulator,Differential pressure regulator defective,dhw_storage,1.0,True,
M1_pre_event_0062_report_pre_7d,M1,62,21,M1_21,pre_event,report_pre_7d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0062_report_pre_5d,M1,62,21,M1_21,pre_event,report_pre_5d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0062_report_pre_3d,M1,62,21,M1_21,pre_event,report_pre_3d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0062_report_pre_1d,M1,62,21,M1_21,pre_event,report_pre_1d,control_controller,Control unit: Incorrect parameterisation,dhw_storage_return,1.0,True,
M1_pre_event_0064_report_pre_7d,M1,64,6,M1_6,pre_event,report_pre_7d,pressure_regulator,Differential pressure regulator defective,heating_common_only,1.0,True,
M1_pre_event_0064_report_pre_5d,M1,64,6,M1_6,pre_event,report_pre_5d,pressure_regulator,Differential pressure regulator defective,heating_common_only,1.0,True,
M1_pre_event_0064_report_pre_3d,M1,64,6,M1_6,pre_event,report_pre_3d,pressure_regulator,Differential pressure regulator defective,heating_common_only,1.0,True,
M1_pre_event_0064_report_pre_1d,M1,64,6,M1_6,pre_event,report_pre_1d,pressure_regulator,Differential pressure regulator defective,heating_common_only,1.0,True,
M1_pre_event_0065_report_pre_7d,M1,65,11,M1_11,pre_event,report_pre_7d,leakage_water_loss,Leakage,dhw_storage,1.0,True,
M1_pre_event_0065_report_pre_5d,M1,65,11,M1_11,pre_event,report_pre_5d,leakage_water_loss,Leakage,dhw_storage,1.0,True,
M1_pre_event_0065_report_pre_3d,M1,65,11,M1_11,pre_event,report_pre_3d,leakage_water_loss,Leakage,dhw_storage,1.0,True,
M1_pre_event_0065_report_pre_1d,M1,65,11,M1_11,pre_event,report_pre_1d,leakage_water_loss,Leakage,dhw_storage,1.0,True,
M1_pre_event_0067_report_pre_7d,M1,67,7,M1_7,pre_event,report_pre_7d,valve_actuator,Motorised control valve (primary side) defective,dhw_storage_return,1.0,True,
M1_pre_event_0067_report_pre_5d,M1,67,7,M1_7,pre_event,report_pre_5d,valve_actuator,Motorised control valve (primary side) defective,dhw_storage_return,1.0,True,
M1_pre_event_0067_report_pre_3d,M1,67,7,M1_7,pre_event,report_pre_3d,valve_actuator,Motorised control valve (primary side) defective,dhw_storage_return,1.0,True,
M1_pre_event_0067_report_pre_1d,M1,67,7,M1_7,pre_event,report_pre_1d,valve_actuator,Motorised control valve (primary side) defective,dhw_storage_return,1.0,True,
M1_pre_event_0069_report_pre_7d,M1,69,26,M1_26,pre_event,report_pre_7d,unknown_review,unknown,dhw_storage_return,1.0,False,unknown_fault_label|training_end_missing
M1_pre_event_0069_report_pre_5d,M1,69,26,M1_26,pre_event,report_pre_5d,unknown_review,unknown,dhw_storage_return,1.0,False,unknown_fault_label|training_end_missing
M1_pre_event_0069_report_pre_3d,M1,69,26,M1_26,pre_event,report_pre_3d,unknown_review,unknown,dhw_storage_return,1.0,False,unknown_fault_label|training_end_missing
M1_pre_event_0069_report_pre_1d,M1,69,26,M1_26,pre_event,report_pre_1d,unknown_review,unknown,dhw_storage_return,1.0,False,unknown_fault_label|training_end_missing
M2_pre_event_0001_report_pre_7d,M2,1,24,M2_24,pre_event,report_pre_7d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M2_pre_event_0001_report_pre_5d,M2,1,24,M2_24,pre_event,report_pre_5d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M2_pre_event_0001_report_pre_3d,M2,1,24,M2_24,pre_event,report_pre_3d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M2_pre_event_0001_report_pre_1d,M2,1,24,M2_24,pre_event,report_pre_1d,valve_actuator,Shut-off valve closed,dhw_storage,1.0,True,
M2_pre_event_0002_report_pre_7d,M2,2,53,M2_53,pre_event,report_pre_7d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M2_pre_event_0002_report_pre_5d,M2,2,53,M2_53,pre_event,report_pre_5d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M2_pre_event_0002_report_pre_3d,M2,2,53,M2_53,pre_event,report_pre_3d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M2_pre_event_0002_report_pre_1d,M2,2,53,M2_53,pre_event,report_pre_1d,pressure_regulator,Incorrect setting of the differential pressure regulator,dhw_storage,1.0,True,
M2_pre_event_0003_report_pre_7d,M2,3,45,M2_45,pre_event,report_pre_7d,valve_actuator,Motorised control valve (primary side): Incorrect setting of the actuator travel time,heating_common_only,1.0,True,
M2_pre_event_0003_report_pre_5d,M2,3,45,M2_45,pre_event,report_pre_5d,valve_actuator,Motorised control valve (primary side): Incorrect setting of the actuator travel time,heating_common_only,1.0,True,
M2_pre_event_0003_report_pre_3d,M2,3,45,M2_45,pre_event,report_pre_3d,valve_actuator,Motorised control valve (primary side): Incorrect setting of the actuator travel time,heating_common_only,1.0,True,
M2_pre_event_0003_report_pre_1d,M2,3,45,M2_45,pre_event,report_pre_1d,valve_actuator,Motorised control valve (primary side): Incorrect setting of the actuator travel time,heating_common_only,1.0,True,
M2_pre_event_0005_report_pre_7d,M2,5,8,M2_8,pre_event,report_pre_7d,leakage_water_loss,Leakage,heating_common_only,1.0,True,
M2_pre_event_0005_report_pre_5d,M2,5,8,M2_8,pre_event,report_pre_5d,leakage_water_loss,Leakage,heating_common_only,1.0,True,
