manufacturer,substation_id,manufacturer_substation_id,raw_column_count,raw_sensor_columns,normal_event_count,fault_event_count,efd_possible_count,disturbance_count,common10_ready,dhw_supply_available,dhw_storage_available,dhw_return_available,multi_circuit_available,system_capability_group
M1,11,M1_11,15,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,2,3,3,8,True,True,True,False,False,dhw_storage
M1,12,M1_12,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,1,1,4,True,True,True,False,False,dhw_storage
M1,13,M1_13,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,2,2,6,True,True,True,False,False,dhw_storage
M1,14,M1_14,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,0,0,9,True,True,True,False,False,dhw_storage
M1,15,M1_15,25,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.2_supply_temperature|s_hc1.1_return_temperature|s_hc1.2_return_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.1_return_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1.2_return_temperature_setpoint,2,0,0,4,True,True,True,False,True,dhw_storage
M1,16,M1_16,12,outdoor_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,2,0,0,2,True,False,False,True,False,dhw_return
M1,17,M1_17,13,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature_setpoint|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,2,1,1,6,True,False,True,False,False,dhw_storage
M1,18,M1_18,17,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,0,1,1,8,True,True,True,False,False,dhw_storage
M1,19,M1_19,21,outdoor_temperature|p_dhw_return_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.2_supply_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint,2,1,1,9,True,True,True,True,True,dhw_storage_return
M1,20,M1_20,22,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.2_supply_temperature|s_hc1.1_return_temperature|s_hc1.2_return_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint,2,1,1,7,True,True,True,False,True,dhw_storage
M1,21,M1_21,17,outdoor_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,0,4,4,15,True,True,True,True,False,dhw_storage_return
M1,22,M1_22,19,outdoor_temperature|p_dhw_return_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,3,0,0,0,True,True,True,True,False,dhw_storage_return
M1,23,M1_23,24,outdoor_temperature|p_dhw_return_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.2_supply_temperature|s_hc1.1_return_temperature|s_hc1.2_return_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint,1,0,0,2,True,True,True,True,True,dhw_storage_return
M1,24,M1_24,20,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature_setpoint|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.2_supply_temperature|s_hc1.1_return_temperature|s_hc1.2_return_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1.2_return_temperature_setpoint,0,3,3,9,True,False,True,False,True,dhw_storage
M1,25,M1_25,11,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,0,0,0,True,False,False,False,False,heating_common_only
M1,26,M1_26,22,outdoor_temperature|p_dhw_return_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1.1_return_temperature,1,2,2,5,True,True,True,True,True,dhw_storage_return
M1,27,M1_27,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature,0,1,1,4,True,True,True,False,False,dhw_storage
M1,28,M1_28,12,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature,0,1,1,6,True,False,False,False,False,heating_common_only
M1,29,M1_29,25,outdoor_temperature|p_dhw_return_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature|s_hc1.1_supply_temperature|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1.1_return_temperature|s_hc1.1_return_temperature_setpoint|s_hc1.2_return_temperature|s_hc1.2_return_temperature_setpoint,0,1,1,4,True,True,True,True,True,dhw_storage_return
M1,30,M1_30,18,outdoor_temperature|p_dhw_return_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature,0,1,1,4,True,True,True,True,False,dhw_storage_return
M1,31,M1_31,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature,0,1,1,2,True,True,True,False,False,dhw_storage
M1,32,M1_32,17,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,0,0,0,2,True,True,True,False,False,dhw_storage
M1,33,M1_33,18,outdoor_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,0,0,0,2,True,True,True,True,False,dhw_storage_return
M2,1,M2_1,23,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|p_dhw_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,0,0,2,True,True,True,True,False,dhw_storage_return
M2,4,M2_4,17,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,3,5,3,10,True,False,False,False,False,heating_common_only
M2,6,M2_6,15,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,0,0,1,True,False,False,False,False,heating_common_only
M2,7,M2_7,21,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,1,True,True,True,False,False,dhw_storage
M2,8,M2_8,16,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,1,1,2,True,False,False,False,False,heating_common_only
M2,9,M2_9,17,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,3,True,False,False,False,False,heating_common_only
M2,10,M2_10,15,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,2,4,4,10,True,False,False,False,False,heating_common_only
M2,11,M2_11,15,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,2,1,4,True,False,False,False,False,heating_common_only
M2,12,M2_12,16,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,0,0,1,True,False,False,False,False,heating_common_only
M2,14,M2_14,23,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,0,0,2,True,True,True,False,False,dhw_storage
M2,15,M2_15,15,outdoor_temperature|s_hc1_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,1,1,4,True,False,False,False,False,heating_common_only
M2,16,M2_16,17,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature_setpoint|p_hc1_return_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,2,1,12,True,False,False,False,False,heating_common_only
M2,18,M2_18,16,outdoor_temperature|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,2,1,4,True,False,True,False,False,dhw_storage
M2,19,M2_19,25,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1.2_heating_pump_status|s_hc1.3_heating_pump_status|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,3,1,1,6,True,True,True,False,True,dhw_storage
M2,20,M2_20,22,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,1,1,7,True,True,True,False,False,dhw_storage
M2,21,M2_21,42,s_dhw_supply_temperature_setpoint|outdoor_temperature|outdoor_temperature.1|s_hc1_control_unit_mode|s_hc1.1_control_unit_mode|s_hc1.2_control_unit_mode|s_dhw_control_unit_mode|s_hc1.2_dhw_control unit_mode|s_hc1_room_temperature_setpoint|s_hc1.1_room_temperature_setpoint|s_hc1.2_room_temperature_setpoint|p_hc1_return_temperature_setpoint|s_hc1.1_return_temperature_setpoint|s_hc1.2_return_temperature_setpoint|p_hc1_return_temperature|s_hc1.1_return_temperature|s_hc1.2_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|s_hc1.1_control_valve_position|p_dhw_control_valve_position|s_hc1.2_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1.1_heating_pump_status|s_hc1.2_heating_pump_status|s_hc1_supply_temperature_setpoint|s_hc1.1_supply_temperature_setpoint|s_hc1.2_supply_temperature_setpoint|s_hc1_supply_temperature|s_hc1.1_supply_temperature|s_dhw_supply_temperature|s_hc1.2_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,1,1,1,True,True,True,False,True,dhw_storage
M2,22,M2_22,0,,0,0,0,2,False,False,False,False,False,heating_common_only
M2,24,M2_24,20,outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,1,1,1,3,True,True,True,False,False,dhw_storage
M2,25,M2_25,23,s_dhw_supply_temperature_setpoint|outdoor_temperature|s_hc1_control_unit_mode|s_dhw_control_unit_mode|s_hc1_room_temperature_setpoint|p_hc1_return_temperature|s_dhw_3-way_valve_status|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_hc1_control_valve_position_setpoint|p_dhw_control_valve_position|s_dhw_upper_storage_temperature_setpoint|s_hc1_heating_pump_status_setpoint|s_hc1_supply_temperature_setpoint|s_hc1_supply_temperature|s_dhw_supply_temperature|p_net_meter_energy|p_net_meter_flow|p_net_meter_heat_power|p_net_return_temperature|p_net_meter_volume|p_net_supply_temperature,0,0,0,2,True,True,True,False,False,dhw_storage
